ID,Title,alternative form,alternative form,alternative form,Type,persons (lookup)
TIT2122gabaz,gäbäz,,,,office,
TIT2123gabaza,gäbäzä Aksum,,,,title,
TIT2124gadaan,gadaanna,,,,title,
TIT2125gadabg,gadab garaad,,,,title,
TIT2126Gadayt,Gädayto garaad,,,,leader,
TIT2127ganazo,gänäzo gärad,,,,title,
TIT2128ganter,ǧanṭǝrar,,,,title,
TIT2129garaad,garaad,,,,title,
TIT2130garaad,garaada,,,,title,
TIT2131garad,garād,,,,title,
TIT2132garad,gärad,,,,title,
TIT2133gogala,gogäla gärad,,,,title,
TIT2134goggam,goǧǧam azmač,,,,off.,
TIT2135goggam,goǧǧam nägaš,,,,off.,
TIT2136graazz,gra azzaž,,,,title,
TIT2137grabaa,gra bäʿaltiḥat,,,,title,
TIT2138grabit,gra bitwäddäd,,,,title,
TIT2139graget,gra geta,,,,title,
TIT2140grazma,grazmač,,,,title,
TIT2141guda,guda,,,,off.,
TIT2142halabg,haläb gärad,,,,office,
TIT2143halaqa,halaqa,haleqa,halaka,,office,
TIT2144halaqa,ḥaläqa,,,,mil. office,
TIT2145halifa,ḫalīfa,,,,title,
TIT2146halifa,ḫalīfa rasūl Allāh,,,,title,
TIT2147halifa,ḫalīfat al-ḫulafāʾ,,,,title,
TIT2148halifa,ḫalīfat al-mahdī,,,,title,
TIT2149hanta,ḥanta,,,,title,
TIT2150hadani,ḥaḍani,ḥaḍani,,,title,
TIT2151hasgwa,ḥasgwa,,,,title,
TIT2152hati,ḥaṭī,,,,title,
TIT2153hatib,ḫaṭīb,,,,office,
TIT2154haygan,hayǧan,,,,title,
TIT2155haylem,haylé maga,,,,title,
TIT2156hegano,hegäno,ḥegäno,,,off.,
TIT2157hidiw,ḫidīw,,,,title,
TIT2158huduga,huduga,,,,office,
TIT2159imam,imām,,,,title,
TIT2160Ity,Ity,,,,title,
TIT2161kabir,kabīr,,,,title,
TIT2162kafiat,kafi atioo,,,,title,
TIT2163kahena,kahǝnatä däbtära,,,,eccl.,
TIT2164kahena,kahǝnatä sämay,,,,eccl.,
TIT2165kahnan,kahnan,,,,rel.,
TIT2166kanteb,käntebay,käntibay,,,title,
TIT2167kantib,käntiba,käntebay,,,title,
TIT2168kantib,käntiba ʿaddi,,,,title,
TIT2169kao,kao,kaʾo,,,title,
TIT2170karraa,karra asallafi,,,,function,
TIT2171katama,katama rašo,,,,title,
TIT2172kati,kati,,,,title,
TIT2173katib,kātib,kātib al-sirr,,,office,
TIT2174kawo,kawo,,,,title,
TIT2175kias,kiás,,,,title,
TIT2176kobm,kóbm,,,,title,
TIT2177koms,koms,,,,title,
TIT2178kusemg,kušǝm gärad,kwäšem gärad,,,title,
