ID,Place,Place,Place,Coordinates,Type,Region,Texts related (lookup),MSS related (lookup)
LOC2350DabraS,Däbrä Säloda,,,,mon.,,,
LOC2351DabraS,Däbrä Samuʾel,Adil Badil,,,church,,,
LOC2352DabraS,Däbrä San,Däbsan,,,mon.,,,
LOC2353DabraD,Däbrä Ḍana,,,,mon.,,,
LOC2354DabraS,Däbrä Sänkwaʿ,,,,pl.n.,,,
LOC2355DabraS,Däbrä Ṣäqwän,Däbrä Maryam,,,mon.,,,
LOC2356DabraS,Däbrä Säqwar,,,,mon.,,,
LOC2357DabraS,Däbrä Säqwǝrt,,,,mon.,,,
LOC2358DabraS,Däbrä Ṣärabi,,,,mon.,,,
LOC2359DabraS,Däbrä Ṣǝgaǧǧa,,,,mon.,,,
LOC2360DabraS,Däbrä Sǝgale,,,,pl.n.,,,
LOC2361DabraS,Däbrä Ṣǝge,,,,church,Gärʿalta,,
LOC2362DabraS,Däbrä Ṣǝge,Ǝnda Abunä Yonas Laʿǝlay; Däbrä Erar,Ǝnda Śǝllase,,mon.,Säraye,,
LOC2363DabraS,Däbrä Ṣǝge Maryam,,,,mon.,Šäwa,,
LOC2364DabraS,Däbrä Ṣǝge Qǝddus Uraʾel,,,,church,,,
LOC2365DabraS,Däbrä Śǝllase,,,,church,Zäge,,
LOC2366DabraS,Däbrä Šǝmana,,,,mon.,Anṭalo,,
LOC2367DabraS,Däbrä Ṣǝmmuna,Däbrä Ṣǝmmona,,,mon.,,,
LOC2368DabraS,Däbrä Sǝrem,,,,mon.,,,
LOC2369DabraS,Däbrä Ṣǝyon,,,,church,Ǝšätän,,
LOC2370DabraS,Däbrä Ṣǝyon,,,,church,Naqamtee,,
LOC2371DabraS,Däbrä Ṣǝyon,,,,mon.,Tulluu Guddoo,,
LOC2372DabraS,Däbrä Ṣǝyon,Abunä Abrǝham,,,mon.,Gärʿalta,,
LOC2373DabraS,Däbrä Siḥat,,,,mon.,Sänḥit s. Däbrä Sina,,
LOC2374DabraS,Däbrä Sina,Betä Qǝddus Mikaʾel,,,church,Lalibäla,,
LOC2375DabraS,Däbrä Sina,,,,is.,Zway,,
LOC2376DabraS,Däbrä Sina,,,,mon.,Ḉaqäta,,
LOC2377DabraS,Däbrä Sina,,,,mon.,Däqqi Täsfa,,
LOC2378DabraS,Däbrä Sina,,,,mon.,Gorgora,,
LOC2379DabraS,Däbrä Sina,Däbrä Siḥat,,,mon.,Sänḥit,,
LOC2380DabraS,Däbrä Sina,,,,town,,,
LOC2381DabraS,Däbrä Sina,,,,wär.,,,
LOC2382DabraS,Däbrä Sina Maryam,,,,church,,,
LOC2383DabraT,Däbrä Täʾamina,Däbrä Tǝguhan,,,mon.,,,
LOC2384DabraT,Däbrä Tabor,,,,awr.,,,
LOC2385DabraT,Däbrä Tabor,,,,town,,,
LOC2386DabraT,Däbrä Tabor Iyäsus,,,,church,,,
LOC2387DabraT,Däbrä Täklä Haymanot,,,,church,Dawǝnt,,
LOC2388DabraT,Däbrä Tämbuk,Däbrä Tänbuk,,,mon.,,,
LOC2389DabraT,Däbrä Ṭǝbäb,,,,church,,,
LOC2390DabraT,Däbrä Ṭǝllul,Ǝnda Abbona; Ǝndabbona,Ǝnda Abranyos; Däbrä Abunä Abranyos,,mon.,,,
LOC2391DabraW,Däbrä Wala Maryam,,,,mon.,,,
LOC2392DabraW,Däbrä Wälättä etros,,,,mon.,,,
LOC2393DabraW,Däbrä Wärq,Däbrä Wärq Maryam,,,mon.,Goǧǧam,,
LOC2394DabraW,Däbrä Wärq of Aynä Kärm,,,,mon.,,,
LOC2395DabraY,Däbrä Yälmetän,,,,mon.,,,
LOC2396DabraY,Däbrä Yärär,,,,pl.n.,,,
LOC2397DabraY,Däbrä Yäy,,,,pl.n.,,,
LOC2398DabraZ,Däbrä Zäbit,,,,pl.n.,,,
LOC2399DabraZ,Däbrä Zämogä,Däbrä Zämosa,,,mon.,,,
LOC2400DabraZ,Däbrä Zäyt,,,,church,Tǝgray,,
LOC2401DabraZ,Däbrä Zäyt,,,,lit.,,,
LOC2402DabraZ,Däbrä Zäyt,,,,mon.,Eg.,,
LOC2403DabraZ,Däbrä Zäyt,,,,mon.,Dakna,,
LOC2404DabraZ,Däbrä Zäyt,Bišoftuu,,,town,,,
LOC2405Dabri,Däbri,,,,pl.n.,,,
LOC2406Dabrim,Dabrimēla,,,,ethn.,,,
LOC2407Dabtar,Däbtära,,,,pl.n.,Aks.,,
LOC2408Dabub,Däbub,,,,reg.,,,
LOC2409Dabub,Däbub,Baḥri Ḥaḉay,,,town,,,
LOC2410Dabub,Däbub,,,,zoba,,,
LOC2411Dadabi,Dädäbit,,,,pl.n.,,,
LOC2412Dadar,Dädär,,,,pl.n.,,,
LOC2413Daɖɖat,Ðaɖɖāʿṭó,,,,pl.n.,,,
LOC2414Dadin,Dadin,,,,mt.,,,
LOC2415Daerim,Ðāʿērima,,,,pl.n.,,,
LOC2416Dafaca,Däfaḉa,,,,reg.,,,
LOC2417Dafaca,Däfaḉa Kidanä Mǝḥrät,,,,church,,,
LOC2418DafaSa,Däfäśa,,,,pl.n.,,,
LOC2419Daga,Daga,,,,is.,,,
LOC2420Daga,Daga,,,,riv.,,,
LOC2421DagaDa,Däga Damot,,,,reg.,,,
LOC2422DagaEs,Daga Ǝsṭifanos,,,,mon.,,,
LOC2423DagaRo,Daga Roba,,,,pl.n.,,,
LOC2424DagahB,Dägah Bur,Ḍagaḥbuur,,,town,,,
LOC2425Dajan,Däǧän,,,,town,,,
LOC2426Dajan,Däǧän,,,,wär.,,,
LOC2427Dagar,Dägar,,,,pl.n.,,,
LOC2428Dagen,Dagen,,,,pl.n.,,,
LOC2429Daggam,Däggäm,,,,settl.,,,
LOC2430Dagna,Dägna,,,,mon.,,,
LOC2431Dago,Dago,,,,pl.n.,,,
LOC2432DaguDa,Dägu Dägumañ,,,,district,,,
LOC2433Dahana,Daḫanamo,,,,pl.n.,,,
LOC2434Dahaya,Dähaya,,,,reg.,,,
LOC2435Dahlak,Dahlak islands,,,,,,,
LOC2436Dahna,Dähna,,,,wär.,,,
LOC2437Dahna,Daḫna,,,,pl.n.,,,
LOC2438DahroC,Dahro Conat,,,,pl.n.,,,
LOC2439Daka,Daka,Hora-Qalloo,,,riv.,East Šäwa,,
LOC2440Daka,Daka,,,,riv.,Beni Šangul,,
LOC2441Dakane,Daḵane,,,,arch. site,,,
LOC2442Dakane,Daḵane,,,,riv.,,,
LOC2443Dakar,Dakar,,,,town,Harärge,,
LOC2444Dakar,Dakar,,,,town,Senegal,,
LOC2445DakarG,Dakar Gobana,,,,pl.n.,,,
LOC2446Dakato,Däkato,,,,riv.,,,
LOC2447Daketa,Daketa,,,,riv.,,,
LOC2448Dalaat,Dalaatii hill,,,,,,,
LOC2449Dalant,Dälanta,,,,reg.,,,
LOC2450Dalant,Dälänta,,,,riv.,,,
LOC2451Dalbo,Dälbo,,,,town,,,
LOC2452Dalab,Daläb,,,,pl.n.,,,
LOC2453Dalgi,Dälgi,,,,town,,,
LOC2454Dalion,Dalion,,,,geog.,,,
LOC2455Dallo,Dallo,,,,reg.,,,
LOC2456Dallol,Dallol,,,,mt.,,,
LOC2457Dallol,Dallol,,,,wär.,,,
LOC2458Dalmat,Dalmatia,,,,reg.,,,
LOC2459Daloca,Daloča,,,,wär.,,,
LOC2460Dalpee,Ðalpeena,,,,riv.,,,
LOC2461Dalwah,Dalwah,,,,town,,,
LOC2462Dalyat,Dalyata,,,,mt.,,,
LOC2463Daman,Ḍamān,,,,reg.,India,,
LOC2464adDama,ad-Dāmar,,,,town,,,
LOC2465Damark,Damarkiya,,,,is.,,,
LOC2466Damas,Damas,,,,mt.,,,
LOC2467Damas,Damas,,,,settl.,,,
LOC2468Damasc,Damascus,,,,town,Syria,,
LOC2469Damazi,Damazin,,,,town,Sudan,,
LOC2470DambaM,Dämba Mǝčč,,,,settl.,,,
LOC2471Dambac,Dämbäḉa,,,,town,,,
LOC2472Dambac,Dämbäḉa,,,,awr.,,,
LOC2473Dambag,Dämbägwena,,,,geog.,,,
LOC2474Dambal,Dämbäl Mäqi,,,,reg.,,,
LOC2475Dambal,Dambala,,,,settl.,,,
LOC2476Dambal,Dämbälas,,,,reg.,,,
LOC2477Dambaz,Dämbäzä Śǝllase,,,,church,,,
LOC2478Dambaz,Dämbäzan,,,,reg.,,,
LOC2479DambeA,Dämbe ʿArqay,,,,pl.n.,,,
LOC2480Dambeg,Dämbǝge,,,,pl.n.,,,
LOC2481Dambey,Dämbǝya,Dämbiya,,,reg.,,,
LOC2482Dambi,Dämbi,,,,town,,,
LOC2483DambiW,Dämbi Wadi Muduy,,,,arch. site,,,
LOC2484Dambil,Dambille,,,,settl.,,,
LOC2485Damboz,Dämboza,,,,settl.,,,
LOC2486Dammoh,Dammohoytá,,,,reg.,,,
LOC2487Damo,Damo,,,,reg.,,,
LOC2488Damot,Damot,,,,reg.,,,
LOC2489Damota,Damota,,,,mt.,,,
LOC2490Damota,Damota,,,,settl.,,,
LOC2491Damoz,Dämoz,,,,reg.,,,
LOC2492Damtay,Damtay,,,,reg.,,,
LOC2493Dana,Dana,,,,is.,,,
LOC2494Dana,Dana,,,,pl.n.,,,
LOC2495DHana,Ḏana,ḎʾNT,,,wādī,,,
LOC2496Danane,Dänane,,,,pl.n.,,,
LOC2497Dandan,Dändän,,,,mt.,,,
LOC2498Dandan,Dandaneit,,,,arch. site,,,
LOC2499Dandar,Dändära,,,,pl.n.,,,
LOC2500Dander,Dändero,,,,reg.,,,
LOC2501Dandi,Dändi,,,,mt.,,,
LOC2502Dangaw,Dangawura,,,,pl.n.,,,
LOC2503Dangel,Dängel Bär,,,,town,,,
LOC2504Dangel,Dangǝla,,,,reg.,,,
LOC2505Dangel,Dangǝla,,,,town,,,
LOC2506Dangi,Dangi,,,,riv.,,,
LOC2507Dangiy,Dängiya Wärq,,,,pl.n.,,,
LOC2508Dangol,Dängolo,Dängälo,,,town,Tǝgray,,
LOC2509Dangol,Dängolo Laʿǝlay,,,,pl.n.,Eritrea,,
LOC2510Dangol,Dängolo Taḥtay,,,,pl.n.,Eritrea,,
LOC2511Dangur,Dangur,Dangura,,,reg.,,,
LOC2512Danka,Danka,,,,reg.,,,
LOC2513Dankal,Dänkäl,Danakil Desert; Dancalia,,,reg.,,,
LOC2514Dannab,Dännäba,,,,reg.,,,
LOC2515Danqar,Dänqäro,,,,riv.,,,
LOC2516Danqaz,Dänqäz,,,,pl.n.,,,
LOC2517Dans,Däns,,,,mt.,,,
LOC2518Dansa,Dänsa,,,,reg.,,,
LOC2519Dansa,Danša,,,,settl.,,,
LOC2520Danta,Danta,,,,reg.,,,
LOC2521Danube,Danube,,,,riv.,,,
LOC2522Daq,Däq,,,,is.,,,
LOC2523Daqana,Däqänamo,,,,arch. site,,,
LOC2524Daqqam,Däqqämḥare,,,,reg.,Dämbäzan,,
LOC2525Daqqam,Däqqämḥare,,,,reg.,Ǝggäla,,
LOC2526DaqqiA,Däqqi Aṭros,,,,pl.n.,,,
LOC2527DaqqiB,Däqqi Bäḵwǝri,,,,pl.n.,,,
LOC2528DaqqiD,Däqqi Dašǝm,,,,reg.,,,
LOC2529DaqqiD,Däqqi Dǝgna,,,,reg.,,,
LOC2530DaqqiG,Däqqi Gäbru,,,,settl.,,,
LOC2531DaqqiI,Däqqi Ita,Märagwǝz,Däbrä Däqqi Ita,,mon.,,,
LOC2532DaqqiS,Däqqi Ṣǝnʿa,,,,pl.n.,,,
LOC2533DaqqiY,Däqqi Yǝṭaʿǝs,,,,reg.,,,
LOC2534DaqqiZ,Däqqi Zärʾu,,,,settl.,,,
LOC2535DaqwaK,Däqwa Kidanä Mǝḥrät,,,,church,,,
LOC2536DarElw,Dār Elwa,,,,pl.n.,,,
LOC2537DaresS,Dar es Salaam,,,,town,,,
LOC2538Dara,Dära,,,,pl.n.,Boorana,,
LOC2539Dara,Dära,,,,pl.n.,Ḥawzen,,
LOC2540Dara,Dara,,,,riv.,,,
LOC2541Dara,Dära,,,,reg.,Bägemdǝr,,
LOC2542Dara,Dära,Dāra,Dārah,,sultanate,,,
LOC2543Dara,Darʾa,,,,reg.,Tǝgray,,
LOC2544Darabe,Däräbe,,,,reg.,,,
LOC2545Daraka,Daraka,,,,is.,,,
LOC2546Darame,Därame,,,,riv.,,,
LOC2547Daraqa,Däräqä,,,,riv.,,,
LOC2548Darasa,Därasa,,,,awr.,,,
LOC2549Darasa,Därasa,,,,town,,,
LOC2550Darasg,Däräsge,,,,town,,,
LOC2551Darasg,Däräsge Giyorgis,,,,church,,,
LOC2552Darasg,Däräsge Maryam,Däbrä Ṣǝge,Däbrä Ǝgziʾ,,church,,,
LOC2553Darbat,Darb at-Tiqā,,,,church,,,
LOC2554Darbus,Darbuset,,,,settl.,,,
LOC2555Dardar,Därdärre,,,,settl.,,,
LOC2556Darfo,Därfo,,,,settl.,,,
LOC2557Darfur,Darfur,Dārfūr,,,reg.,,,
LOC2558Darha,Darḫa,,,,pl.n.,,,
LOC2559Daricc,Däriḉḉen,,,,arch. site,,,
LOC2560Darita,Därita,,,,reg.,,,
LOC2561Darma,Därma,,,,riv.,,,
LOC2562Darmi,Darmi,,,,settl.,,,
LOC2563Darna,Darna,,,,pl.n.,,,
LOC2564Daro,Däro,,,,town,,,
LOC2565DaroEl,Daʿro ʿEla,,,,pl.n.,,,
LOC2566DaroQa,Daʿro Qawlos,,,,pl.n.,,,
LOC2567Darota,Darotai,,,,arch. site,,,
LOC2568Darra,Därra,Dära,,,reg.,,,
LOC2569Darra,Därrä,,,,wär.,,,
LOC2570DarraA,Därra Abunä Ḥara,,,,pl.n.,,,
LOC2571Darsa,Darsa,,,,is.,,,
LOC2572Dartmo,Dartmouth,,,,town,,,
LOC2573Daru,Daʿru,,,,pl.n.,,,
LOC2574Darwa,Darwā,,,,pl.n,,,
LOC2575Dase,Däse,,,,town,,,
LOC2576DaseMa,Däse Mädḫane ʿAläm,,,,church,,,
LOC2577Dasifi,Dasifi,,,,pl.n.,,,
LOC2578Dasset,Dässet,,,,riv.,,,
LOC2579Davos,Davos,,,,town,,,
LOC2580Dawa,Dawa,,,,pl.n.,,,
LOC2581Dawa,Dawa,Dawwaa,,,riv.,,,
LOC2582Dawaro,Däwaro,Dauarro,Davvaro; Dauri,,reg.,,,
LOC2583Dawary,Dawarya,Devary,,,reg.,,,
LOC2584Dawdaw,Däwdäw,,,,arch.site,,,
LOC2585Dawdo,Dawdo,,,,settl.,,,
LOC2586Dawent,Dawǝnt,,,,reg.,,,
LOC2587Dawro,Dawro,,,,reg.,,,
LOC2588Dawwah,Däwwäh Rahmädo,,,,wär.,,,
LOC2589Dawway,Däwway,,,,reg.,,,
LOC2590DayGiy,Däy Giyorgis,,,,church,,,
LOC2591Dayar,Dayär,Dayer,Däyär,,pl.n.,,,
LOC2592Daylam,Daylam,,,,reg.,,,
LOC2593DayrAb,Dayr Abū Mīnā,,,,mon.,,,
LOC2594Dayral,Dayr al-Abyaḍ,White Monastery,,,mon.,,,
LOC2595Dayral,Dayr al-Aḥbāš,,,,mon.,,,
LOC2596Dayral,Dayr al-Baḥrī,,,,pl.n.,,,
LOC2597Dayral,Dayr al-Baramūs,,,,mon.,,,
LOC2598Dayral,Dayr al-Ǧanādla,,,,settl.,,,
LOC2599Dayral,Dayr al-Maymūn,,,,pl.n.,,,
LOC2600Dayral,Dayr al-Muḥarraq,Däbrä Qwǝsqwam,Dayr Qūsqām,,mon.,,,
LOC2601DayrAn,Dayr Anbā Anṭūniyūs,St Anthony,,,mon.,Eg.,,
LOC2602DayrAn,Dayr Anbā Anṭūniyūs,St Anthony,,,mon.,Jerusalem,,
LOC2603DayrAn,Dayr Anbā Bišōy,Dayr Anbā Bišūy,,,mon.,,,
LOC2604DayrAn,Dayr Anbā Maqār,,,,mon.,,,
LOC2605DayrAn,Dayr Anbā Samūʾīl,,,,mon.,,,
LOC2606Dayras,Dayr as-Sulṭān,,,,mon.,,,
LOC2607Dayras,Dayr as-Suryān,,,,mon.,,,
LOC2608Dayraz,Dayr az-Zāwīya,,,,settl.,,,
LOC2609DayrBa,Dayr Baramūs,,,,mon.,,,
LOC2610DayrIl,Dayr Ilyās,St Elija,,,mon.,,,
LOC2611DayrSa,Dayr Sayyida,,,,mon.,,,
LOC2612Deb,Dēb,,,,is.,,,
LOC2613Debana,Debana,,,,pl.n.,,,
LOC2614Debarw,Dǝbarwa,,,,town,,,
LOC2615Debba,Dǝbba,,,,pl.n.,,,
LOC2616Debdeb,Dǝbdǝb,,,,arch. site,,,
LOC2617Debdeb,Dǝbdǝbo,,,,pl.n.,,,
LOC2618Debebt,Debebti,,,,pl.n.,,,
LOC2619Debne,Debné,,,,riv.,,,
LOC2620Deca,Deča,,,,wär.,,,
LOC2621Decca,Deḉḉa,,,,town,,,
LOC2622Deccan,Deccan,,,,reg.,,,
LOC2623Dedan,Dedān,,,,reg.,,,
LOC2624Deder,Deder,,,,wär.,,,
LOC2625Deder,Dǝdǝr,,,,reg.,,,
LOC2626DeerWa,Ḍeer-Wanaaǧi,,,,pl.n.,,,
LOC2627Dega,Dega,,,,wär.,,,
LOC2628Degen,Degen,,,,arch. site,,,
LOC2629Deggwe,Dǝggwǝʿa Tämben,,,,wär.,,,
LOC2630Degsa,Dǝgsa,,,,town,,,
LOC2631DegSan,Dǝgśana,,,,pl.n.,,,
LOC2632Degum,Dǝgum,,,,arch. site,,,
LOC2633DegumS,Dǝgum Śǝllase,,,,church,,,
LOC2634Degun,Degun,,,,reg.,,,
LOC2635Dehana,Dǝhana,,,,reg.,,,
LOC2636DeirAl,Deir Alla,,,,arch. site,,,
LOC2637Deire,Deíre,,,,pl.n.,,,
LOC2638DeireE,Deirē Epi Dires,,,,pl.n.,,,
LOC2639Dekana,Dǝḵana,Dähna; Daḫana,Daḵana,,pl.n.,,,
LOC2640Dekana,Dǝkanamo,,,,pl.n.,,,
LOC2641Deldi,Dǝldi,,,,pl.n.,,,
LOC2642Delhi,Delhi,,,,town,,,
LOC2643Delos,Delos,,,,is.,,,
LOC2644Delu,Dǝlu,,,,wär.,,,
LOC2645Delseh,Dǝlšǝha,Dǝlšaho; Dalšǝh,,,mon.,,,
LOC2646DemahG,Dǝmaḥ Gännät ʿAlämayyähu Šašu,,,,church,,,
LOC2647Dembi,Dǝmbi,,,,pl.n.,,,
LOC2648Denbi,Dǝnbi,,,,pl.n.,,,
LOC2649Dender,Dǝnder,,,,riv.,,,
LOC2650Denj,Dǝnǧ,,,,pl.n.,,,
LOC2651Dengay,Dǝngay,,,,reg.,,,
LOC2652Denmar,Denmark,,,,country,,,
LOC2653Densa,Densa,,,,pl.n.,,,
LOC2654�DerEl,󐄓Ḍēr ʿElwa,,,,pl.n.,,,
LOC2655DeraQo,Dǝrʿā Qoḥayto,,,,arch. site,,,
LOC2656Dere,Dǝre,,,,wär.,,,
LOC2657DerhoT,Dǝrḥo Täklä,,,,town,,,
LOC2658DerreD,Dǝrre Dawa,,,,town,,,
LOC2659Depeca,Depeçan,,,,settl.,,,
LOC2660Desa,Desʿa,Dessa,,,reg.,,,
LOC2661Dhidhe,Dhidheessa,,,,wär.,,,
LOC2662Dhofar,Dhofar,,,,reg.,,,
LOC2663DiBati,Di Baṭi,Dǝbaṭi,,,wär.,,,
LOC2664Didaa,Didaʾa,Diddaa,,,reg.,,,
LOC2665Didale,Dīdalé,,,,pl.n.,,,
LOC2666Diɖɖoo,Diɖɖoʿó,,,,pl.n.,,,
LOC2667Didess,Didessa,Dhidheessaa,,,riv.,,,
LOC2668Didiba,Didiba Dergaǧen,,,,reg.,,,
LOC2669Didimt,Didimtu,,,,pl.n.,,,
LOC2670Diding,Didinga,,,,hills,,,
LOC2671Difnei,Difnein,,,,is.,,,
LOC2672Difra,Difrā,,,,pl.n.,,,
LOC2673Diggaa,Diggaa,,,,pl.n.,,,
LOC2674Dijjo,Diǧǧo,,,,riv.,,,
LOC2675Diinto,Diinto,,,,pl.n.,,,
LOC2676Dijon,Dijon,,,,town,,,
LOC2677Dikhil,Dikhil,Diḫil,,,reg.,,,
LOC2678Dikika,Dikika,,,,pl.n.,,,
LOC2679Dila,Dilá,,,,pl.n.,Somalia,,
LOC2680Dilala,Dilala,,,,pl.n.,,,
LOC2681Dilalo,Dilalo,,,,pl.n.,,,
LOC2682Dildil,Dildila,,,,pl.n.,,,
LOC2683Dilla,Dilla,,,,town,,,
LOC2684Dilla,Dilla,Dila,,,wär.,,,
LOC2685Dillin,Dillingen,,,,town,,,
LOC2686Dilloo,Dilloo,,,,lake,,,
LOC2687DimaGi,Dima Giyorgis,Däbrä Dǝmaḥ,Däbrä Dima,,mon.,,,
LOC2688Dimaka,Dimaka,,,,town,,,
LOC2689Dimall,Ðímalle,,,,settl.,,,
LOC2690Dimall,Ðimalle Gäbrǝʾel,,,,church,,,
LOC2691Dimaek,Dimaeka,Dimeka,,,town,,,
LOC2692Dimma,Dimma,Dima,,,town,,,
LOC2693Dinco,Dinḉo,,,,town,,,
LOC2694Dinder,Dinder,,,,riv.,,,
LOC2695Dinkir,Dinkiro,,,,pl.n.,,,
LOC2696Dinsa,Dinša,,,,riv.,,,
LOC2697Dinsar,Dinsär,,,,pl.n.,,,
LOC2698Dinso,Dinšo,,,,wär.,,,
LOC2699Diospo,Diospolis,,,,pl.n,,,
LOC2700Diot,Ðiʾōt,Dhicoot,,,reg.,,,
LOC2701Dire,Dire,,,,dam,,,
LOC2702Dirgaa,Dirgaaḥ,,,,pl.n.,,,
LOC2703Dirma,Dirma,,,,riv.,,,
LOC2704Dirree,Dirree,,,,reg.,,,
LOC2705Ditam,Ditäm,,,,pl.n.,,,
LOC2706Diu,Diu,Dio,,,is.,,,
LOC2707Diyarb,Diyarbakir,,,,reg.,,,
LOC2708Djibou,Djibouti,,,,city,,,
LOC2709Djibou,Djibouti,Côte Française des Somalis; Ǧumhūriya Ǧībūtī;,République de Djibouti; Territoire Française des Afars et Issas,,country,,,
LOC2710DMT,DʿMT,Daʿamat,Daʿǝmat,,kingdom,,,
LOC2711Dobaa,Dobaʾa,Doba,,,reg.,,,
LOC2712Dobayu,Dobáyu,Dabáyu,,,pl.n.,,,
LOC2713Dobit,Dobit,Däbet Dokit,,,pl.n.,,,
LOC2714Doddot,Doddota,,,,pl.n.,,,
LOC2715Dodeka,Dodekaschoinos,,,,reg.,,,
LOC2716Dodola,Dodola,,,,wär.,,,
LOC2717Dofar,Ḍofār,,,,reg.,,,
LOC2718Dogaa,Dogaʿa,,,,reg.,,,
LOC2719Dohol,Dohol,,,,is.,,,
LOC2720DoinaK,Doina Kidanä Mǝḥrät,,,,church,,,
LOC2721Dokko,Dokko,,,,kingdom,,,
LOC2722Dolah,Doläh,,,,settl.,,,
LOC2723Dolo,Dolo,Dǝlo,,,awr.,,,
LOC2724Dolo,Dolo,Doolow,Dolo Odo,,town,,,
LOC2725Dolokw,Doloḵwǝrodok,,,,reg.,,,
LOC2726Domata,Domata,,,,mt.,,,
LOC2727Dongol,Dongola,Dunqula,,,town,,,
LOC2728Dongot,Dongotona,,,,mt.,,,
LOC2729Doqaqi,Doqaqit,,,,pl.n.,,,
LOC2730Doqaqi,Doqaqit Mikaʾel,,,,church,,,
LOC2731Doraba,Doräba Bet,,,,pl.n.,,,
LOC2732Dorale,Dorale,,,,pl.n.,,,
LOC2733Dorit,Dorit,,,,pl.n.,,,
LOC2734Dorra,Dorra,,,,pl.n.,,,
LOC2735DorzeS,Dorze Säfär,,,,pl.n.,,,
LOC2736Dota,Dota,,,,riv.,,,
LOC2737Dotawo,Dotawo,,,,kingdom,,,
LOC2738Dresde,Dresden,,,,town,,,
LOC2739DHuJib,Ḏū Ǧibla,,,,pl.n.,,,
LOC2740Dubane,Dubane,,,,pl.n.,,,
LOC2741Dubluq,Dubluq,Dublok,,,pl.n.,,,
LOC2742Dogali,Dogʿali,,,,settl.,,,
LOC2743Dubbi,Dubbi,,,,mt.,,,
LOC2744Dudane,Dudane,,,,pl.n.,,,
LOC2745DuddeH,Dudde-Hiddi,,,,pl.n.,,,
LOC2746DHufar,Ḏufār,Ẓofār,,,pl.n.,,,
LOC2747Duj,Dūǧ,,,,pl.n.,,,
LOC2748DugdaB,Dugda Bora,,,,wär.,,,
LOC2749DukaDu,Duka Dukas,,,,pl.n.,,,
LOC2750Dukam,Dukäm,,,,mt.,,,
LOC2751Dul,Dul,,,,pl.n.,,,
LOC2752Dungun,Dungunáb,Dinqilāb,,,pl.n.,,,
LOC2753Dungur,Dungur,Dǝngur,,,pl.n,,,
LOC2754Duna,Duna,,,,reg.,,,
LOC2755Dungul,Dungul,,,,mt.,,,
LOC2756Dura,Dura,,,,riv.,,,
LOC2757Duraam,Duraame,,,,town,,,
LOC2758Durgee,Durgee,,,,reg.,,,
LOC2759Durmaj,Durmäǧa,,,,pl.n.,,,
LOC2760Duru,Duruʿ,,,,reg.,,,
LOC2761Dus,Dus,,,,pl.n.,,,
LOC2762Dusa,Dusʾa,,,,pl.n.,,,
LOC2763Dusi,Duši,,,,pl.n.,,,
LOC2764Duuna,Duuna,,,,wär.,,,
LOC2765Ebano,Ebano,,,,pl.n.,,,
LOC2766Ebarda,Ǝbardaʿ,,,,settl.,,,
LOC2767Ebenna,Ǝbǝnnat,Ǝbnat,,,town,,,
LOC2768Ebbena,Ǝbbǝnat,,,,wär.,,,
LOC2769Ebicca,Ebičča Ruya,,,,pl.n.,,,
LOC2770Ebla,Ebla,,,,pl.n.,,,
LOC2771EcMarr,ʿƎḉ Märra,,,,arch. site,,,
LOC2772Ecamal,Ǝḉämälä,,,,arch. site,,,
LOC2773Ecane,Ečäne,,,,pl.n.,,,
LOC2774EdagaA,ʿƎdaga ʿArbi,,,,Asmära quarter,,,
LOC2775EdagaA,ʿƎdaga ʿArbi,,,,,Tǝgray,,
LOC2776EdagaB,ʿƎdaga Bǝʿray,ʿƎdaga Bäray,,,pl.n.,,,
LOC2777EdagaH,ʿƎdaga Ḥamus,,,,Asmära quarter,,,
LOC2778EdagaH,ʿƎdäga Ḥamus,,,,arch. site,Tǝgray,,
LOC2779EdagaR,ʿƎdaga Räbuʿ,,,,pl.n.,,,
LOC2780EdagaS,ʿƎdaga Sänbät,,,,pl.n.,,,
LOC2781EdagaS,ʿƎdaga Sänuy,,,,pl.n.,,,
LOC2782Edamya,“Edamya”,,,,pl.n.,,,
LOC2783Edd,ʿƎdd,ʿIddi,,,port,,,
LOC2784Edessa,Edessa,,,,town,,,
LOC2785Edinbu,Edinburgh,,,,town,,,
LOC2786Edras,“Edras”,,,,mt.,,,
LOC2787Eegdu,Eegdu,,,,mt.,,,
LOC2788Eegude,Eegude,,,,pl.n.,,,
LOC2789EelaGa,Eela Garbii,,,,well,,,
LOC2790Efar,Efär,,,,pl.n.,,,
LOC2791Efeson,Efeson,Aṭayye,,,town,,,
LOC2792Effege,Effegenna,,,,pl.n.,,,
LOC2793Efissa,Efissa,,,,pl.n.,,,
LOC2794Efrata,Ǝfrata,,,,reg.,,,
LOC2795Ejersa,Eǧersa Giyorgis,,,,church,,,
LOC2796Ejersa,Eǧersa Goro,,,,town,,,
LOC2797EgerDa,Eger Dag,,,,reg.,,,
LOC2798Eggala,Ǝggäla Daq Azmay,,,,pl.n.,,,
LOC2799Eggala,Ǝggäla Guraʿ,,,,pl.n.,,,
LOC2800Eggala,Ǝggäla Ḥamus,Ǝggäla Ḥämäs,,,reg./ethn.,,,
LOC2801EgguAg,Eggu Agär,,,,settl.,,,
LOC2802Eju,Eǧu,,,,pl.n.,,,
LOC2803Egubba,Ǝgubba,Ǝgwǝba,,,pl.n.,,,
LOC2804Egypt,Egypt,Gǝbs,,,country,,,
