ID,Place,Place,Place,Coordinates,Type,Region,Texts related (lookup),MSS related (lookup)
LOC1099Adamii,Adamii Tulluu–Ǧido Kombolča,,,,wär.,,,
LOC1100Adan,ʿAdan,,,,port,,,
LOC1101AdareS,Adäre Säfär,Ḥusayn b. ʿAlī,,,mosque,,,
LOC1102AddGaf,ʿAdd Gäfa,,,,pl.n.,,,
LOC1103Addaba,Addäbabay Iyäsus,,,,church,Gondär,,
LOC1104Addaba,Addäbabay Täklä Haymanot,,,,church,Gondär,,
LOC1105Addabn,ʿAddäbnägär,,,,settl.,,,
LOC1106Addale,Addalé-Gub,Hadelè Gubò,,,pl.n.,,,
LOC1107Addaqa,ʿAddäqäḥarsi Mäkanä Ḥǝywät äraqliṭos,,,,church,,,
LOC1108Addaqa,ʿAddäqäḥarsi äraqliṭos,,,,rel. site,,,
LOC1109Addasf,ʿAddäsfäda,,,,pl.n.,,,
LOC1110Addet,Addet,,,,wär.,,,
LOC1111Addeqe,ʿAddǝqe,ʿAd Ǝqe,,,pl.n.,,,
LOC1112AddiAb,ʿAddi Abbona,,,,reg.,,,
LOC1113AddiAb,ʿAddi Abeto,,,,pl.n.,,,
LOC1114AddiAb,ʿAddi Abun,,,,town,,,
LOC1115AddiAb,ʿAddi Abun Täklä Haymanot,,,,church,,,
LOC1116AddiAd,ʿAddi Adḫano,,,,arch. site,,,
LOC1117AddiAk,ʿAddi Akäyte,,,,pl.n.,,,
LOC1118AddiAl,ʿAddi Alawti,ʿAddi ʿAläwti,,,arch. site,,,
LOC1119AddiAl,ʿAddi ʿAli Bäḵit,,,,reg.,,,
LOC1120AddiAn,ʿAddi Anzäräfo,,,,arch. site,,,
LOC1121AddiAr,ʿAddi Arbaʿǝtä,,,,reg.,,,
LOC1122AddiAr,ʿAddi Arqay,,,,settl.,,,
LOC1123AddiAs,ʿAddi Asfäda,,,,pl.n.,,,
LOC1124AddiAt,ʿAddi Aṭāl,,,,settl.,,,
LOC1125AddiAy,ʿAddi Aytay,,,,settl.,,,
LOC1126AddiBa,ʿAddi Bäläw,,,,settl.,,,
LOC1127AddiBa,ʿAddi Barah s. ʿAd Bärraḥ,,,,,,,
LOC1128AddiBa,ʿAddi Bärʿǝd,,,,settl.,,,
LOC1129AddiBa,ʿAddi Baro,,,,settl.,,,
LOC1130AddiBe,ʿAddi Beči,,,,pl.n.,,,
LOC1131AddiBi,ʿAddi Bidäl,,,,settl.,,,
LOC1132AddiBo,ʿAddi Boḵoḵway,,,,settl.,,,
LOC1133AddiCa,ʿAddi Ḉäʿanaduq,,,,Aks.,,,
LOC1134AddiCu,ʿAddi Čumay,,,,pl.n.,,,
LOC1135AddiDa,ʿAddi Daʿaro,ʿAz Daro,,,pl.n.,,,
LOC1136AddiDa,ʿAddi Däbbänä,,,,,,,
LOC1137AddiDa,ʿAddi Daro,,,,arch. site,,,
LOC1138AddiDe,ʿAddi Dǝkkǝl,,,,ethn.,,,
LOC1139AddiFe,ʿAddi Fǝnniʿ,,,,settl.,,,
LOC1140AddiGa,ʿAddi Gäbray,,,,settl.,,,
LOC1141AddiGa,ʿAddi Gäbru,,,,settl.,,,
LOC1142AddiGa,ʿAddi Gälämo,,,,arch. site,,,
LOC1143AddiGa,ʿAddi Gätät,,,,settl.,,,
LOC1144AddiGa,ʿAddi Gäzaʾiti,,,,settl.,,,
LOC1145AddiGo,ʿAddi Gombällo,,,,settl.,,,
LOC1146AddiGu,ʿAddi Gundi Yǝlbo,,,,Aks.,,,
LOC1147AddiGw,ʿAddi Gwaʾdad,ʿAddi Gǝdäd,,,settl.,,,
LOC1148AddiGw,ʿAddi Gwatiya,,,,arch. site,,,
LOC1149AddiHa,ʿAddi Ḥabab,,,,settl.,,,
LOC1150AddiHa,ʿAddi Habtäsullus,,,,settl.,,,
LOC1151AddiHa,ʿAddi Haleki,,,,arch. site,,,
LOC1152AddiHa,ʿAddi Hallo,,,,settl.,,,
LOC1153AddiHa,ʿAddi Ḥammuštä,,,,settl.,,,
LOC1154AddiHa,ʿAddi Ḥasama,,,,settl.,,,
LOC1155AddiHa,ʿAddi Ḥawǝšä,,,,settl.,,,
LOC1156AddiHe,ʿAddi Ḥǝdur,,,,settl.,,,
LOC1157AddiHe,ʿAddi Ḥǝywät,,,,pl.n.,,,
LOC1158AddiKa,ʿAddi Käwǝḥ,ʿAddi Akäwǝḥ,,,arch. site,,,
LOC1159AddiKe,ʿAddi Ḵǝfälät,,,,reg.,,,
LOC1160AddiKe,ʿAddi Kǝlǝttä,ʿAddi Kilte,,,arch. site,,,
LOC1161AddiKe,ʿAddi Kern,ʿAddi Kerni,,,arch. site,,,
LOC1162AddiKi,ʿAddi Kilte s. ʿAddi Kǝlǝttä,,,,,,,
LOC1163AddiKo,ʿAddi Kolom,,,,settl,,,
LOC1164AddiKr,ʿAddi Kramatǝn,ʿAddi Qrameten,ʿAddi Grametǝn,,arch. site,,,
LOC1165AddiKr,ʿAddi Krǝs,,,,settl.,,,
LOC1166AddiKw,ʿAddi Ḵwala,,,,town,,,
LOC1167AddiKw,ʿAddi Ḵwala Maryam,,,,church,,,
LOC1168AddiLa,ʿAddi Lagwän,,,,settl.,,,
LOC1169AddiLa,ʿAddi Lamza,,,,settl.,,,
LOC1170AddiLo,ʿAddi Loggo,,,,settl.,,,
LOC1171AddiMa,ʿAddi Mängwǝntu,,,,settl.,,,
LOC1172AddiMa,ʿAddi Mäʿarda,,,,pl.n.,,,
LOC1173AddiMa,ʿAddi Märʿawi,,,,settl.,,,
LOC1174AddiMo,ʿAddi Moqäda,,,,settl.,,,
LOC1175AddiMu,ʿAddi Mulyon,,,,arch. site,,,
LOC1176AddiMu,ʿAddi Musa,,,,settl.,,,
LOC1177AddiNa,ʿAddi Naʾammǝn,,,,settl.,,,
LOC1178AddiNa,ʿAddi Näfas,ʿAddi Nǝfas,,,settl.,,,
LOC1179AddiNa,ʿAddi Näḵasi ʿAdgi,,,,arch. site,,,
LOC1180AddiOs,ʿAddi Osri,,,,arch. site,,,
LOC1181AddiPa,ʿAddi Paša,,,,settl.,,,
LOC1182AddiQa,ʿAddi Qäläbäs,,,,settl.,,,
LOC1183AddiQa,ʿAddi Qäläto,,,,pl.n.,,,
LOC1184AddiQa,ʿAddi Qälqäl,,,,pl.n.,,,
LOC1185AddiQa,ʿAddi Qana,,,,pl.n.,,,
LOC1186AddiQa,ʿAddi Qänsa,,,,arch. site,,,
LOC1187AddiQa,ʿAddi äyyǝḥ,,,,arch. site,,,
LOC1188AddiQa,ʿAddi äyyǝḥ,,,,reg.,,,
LOC1189AddiQa,ʿAddi äyyǝḥ,,,,town,,,
LOC1190AddiQe,ʿAddi Qešo Mädḫane ʿAläm,,,,church,,,
LOC1191AddiQo,ʿAddi Qorro,,,,pl.n.,,,
LOC1192AddiQu,ʿAddi Qušät,,,,settl.,,,
LOC1193AddiQw,ʿAddi Qwänṣi,ʿAddi Qonsi,,,settl.,,,
LOC1194AddiRa,ʿAddi Rämäṣ,,,,town,,,
LOC1195AddiRa,ʿAddi Raʾsi,ʿAddi Raʾǝsi,,,settl.,,,
LOC1196AddiRa,ʿAddi Raʾsi Qǝddus Mikaʾel,,,,church,,,
LOC1197AddiRu,ʿAddi Ruso,,,,ruba,,,
LOC1198AddiSa,ʿAddi Ṣäḥafi,,,,Aks.,,,
LOC1199AddiSa,ʿAddi Šäḥo,,,,settl.,,,
LOC1200AddiSa,ʿAddi Säraye,,,,reg.,,,
LOC1201AddiSe,ʿAddi Sǝglamen,,,,arch. site,,,
LOC1202AddiRe,ʿAddi Remoz,,,,pl.n.,,,
LOC1203AddiSe,ʿAddi Sǝldayǝt,,,,settl.,,,
LOC1204AddiSe,ʿAddi Šǝmagǝllä,,,,pl.n.,,,
LOC1205AddiSo,ʿAddi Sogdo,,,,pl.n.,,,
LOC1206AddiWa,ʿAddi Wänfǝto,,,,settl.,,,
LOC1207AddiWa,ʿAddi Watot,,,,arch. site,,,
LOC1208AddiYa,ʿAddi Yaʿǝqob,,,,settl.,,,
LOC1209AddiYo,ʿAddi Yoḥannǝs,,,,ethn.,,,
LOC1210AddiYo,ʿAddi Yoḥannǝs,,,,settl.,,,
LOC1211AddiZa,ʿAddi Zawǝl,,,,settl.,,,
LOC1212Addigr,ʿAddigrat,,,,town,,,
LOC1213Addigr,ʿAddigrat Ḉerqos,ʿAddigrat Ḉärqos,,,church,,,
LOC1214Addigr,ʿAddigrat Mädḫane ʿAläm,,,,church,,,
LOC1215Addigr,ʿAddigrat Qerlos,,,,church,,,
LOC1216AddisA,Addis Abäba,Finfinnee,,,town,,,
LOC1217AddisA,Addis ʿAläm,Ǝslamge,Ǝslambet,,district,Gondär,,
LOC1218AddisA,Addis ʿAläm,,,,town,Šäwa,,
LOC1219AddisA,Addis ʿAläm Maryam,Däbrä Ṣǝyon,,,church/mon.,,,
LOC1220AddisA,Addis ʿAläm Ṣǝyon,,,,church,,,
LOC1221Afarda,Afardabba,,,,pl.n.,,,
LOC1222Afarba,Afärbayne Täklä Haymanot,,,,church,,,
