ID,Name,First name,Altname,Altname,Altname,Gender,Nationality/Ethnicity,Religion,Relations,Qualifier,Qualifier,Time,Place,Texts related (lookup),MSS related (lookup)
PRS1059AbbabaR,Abbäbä Rätta,,,,,m,Christian Ethiopia,EOTC,, pol.,,,,,
PRS1060AbbabaG,Abbäbä Gäbre,,,,,m,Christian Ethiopia,EOTC,, fit.,,,,,
PRS1061AbbabaG,Abbäbä Gämmada,,,,,m,Christian Ethiopia,EOTC,, däǧǧ. ,,,,,
PRS1062AbbabaB,Abbäbä Biqila,,,,,m,Christian Ethiopia,EOTC,, athlete ,,,,,
PRS1063AbbabaD,Abbäbä Damṭäw,,,,,m,Christian Ethiopia,EOTC,, däǧǧ. ,,,,,
PRS1064AbbabaD,Abbäbä Damṭäw,,,,,m,Christian Ethiopia,EOTC,, ras ,,,,,
PRS1065AbbabaW,Abbäbä Wäldä Giyorgis,,,,,m,Christian Ethiopia,EOTC,, art ,,,,,
PRS1066AbbabaW,Abbäbä Wäldä Śǝllase,,,,,m,Christian Ethiopia,EOTC,, mil. ,,,,,
PRS1067AbbabaW,Abbäbä Wälde,,,,,m,Christian Ethiopia,EOTC,, mus. ,,,,,
PRS1068AbbabaW,Abbäbä Wärqe,,,,,m,Christian Ethiopia,EOTC,, sch. ,,,,,
PRS1069AbbasI,ʿAbbās I ,,,,,m,,Islam,,bāšā ,,,,,
PRS1070AbbasI,ʿAbbās II,,,,,m,,Islam,, šāh,,,,,
PRS1071dAbbadi,d’Abbadie [d’Arrast], Antoine,,,,m,France,Catholic,, sch. ,,,,,
PRS1072dAbbadi,d’Abbadie [d’Arrast], Arnauld [Michel],,,,m,France,Catholic,, sch.,,,,,
PRS1073alAbba,al-ʿAbbās,,,,,m,,Islam, uncle Muḥammad ,,,,,,
PRS1074Abbasb,ʿAbbās b. Abōya,,,,,m,,Islam,, wazīr ,,,,,
PRS1075Abbasb,ʿAbbās b. Abūñ b. Ibrāhīm,,,,,m,,Islam,, wazīr ,,,,,
PRS1076Abbasb,ʿAbbās b. kabīr Muḥammad,,,,,m,,Islam,, wazīr ,,,,,
PRS1077AbbataM,Abbatä Mäkwǝrya,,,,,m,,,, director ,,,,,
PRS1078Abbate,Abbate, Ernesto,,,,m,Italy,,, sch. ,,,,,
PRS1079Abbatini,Abbatini, Giuseppe,,,,m,Italy,,, miss. ,,,,,
PRS1080Abbay,ʿAbbay,,,,,m,,,, däǧǧ. ,,,,,
PRS1081AbbayA,Abbay,,Ammǝḫa Ḍäḥay,,,m,,,, pol. ,,,,,
PRS1082AbbayGu,Abbay Gulǧa,,,,,m,,,, fit., azmač ,,,,
PRS1083AbbayHa,Abbay Habtä Ṣǝyon,,,,,m,,,, baḥ.n. ,,,,,
PRS1084AbbayK,ʿAbbay Kaḥsay,,,,,m,,,, däǧǧ. ,,,,,
PRS1085Abbaye,Abbaye,,,,,m,,,, hermit ,,,,,
PRS1086Abbaye,Abbaye,,,,,m,,,, šayḫ ,,,,,
PRS1087Abbaynah,Abbaynäh,,,,,m,,,, kao ,,,,,
PRS1088Abbe,Abbe,,,,,m,,,, anc. ,,,,,
PRS1089AbbeGub,Abbe Gubäñña,,,,,m,,,, wr. ,,,,,
PRS1090AbbeMah,Abbe Mäḥammäd,,,,,m,,,, pol. ,,,,,
PRS1091AbbeMan,Abbe Manṣūr,,,,,m,,,, gov. ,,,,,
PRS1092AbbebeK,Abbebe Kifleyesus,,,,,m,,,, sch. ,,,,,
PRS1093Abbeyye,Abbǝyye,,,,,m,,,, mär.az. ,,,,,
PRS1094Abbeyye,Abbǝyye “Abba Getǝyye”,,,,,m,,,, lord ,,,,,
PRS1095Abbink,Abbink, Jon,,,,m,Netherlands,,, sch. ,,,,,
PRS1096Abbokor,Abbokor,,,,,m,,,, anc. ,,,,,
PRS1097Abbonah,Abbonäh Aššägräw ,,,,,m,,,,,,,,,
PRS1098Abboyye,Abboyye,,Abba Ǧawi,,,m,,,, afä nǝguś ,,,,,
PRS1099Abboyye,Abboyye,,,,,m,,,, šayḫ ,,,,,
PRS1100Abcaw,Abčäw,,Abǝčče,,,f,,,, wäyz. ,,,,,
PRS1101AbdasS,Abd as-Sayyid,,,,,m,,,, monk ,,,,,
PRS1102Abdül,ʿAbd ül-Meǧīd,,,,,m,Ottoman,Islam,, sulṭ. ,,,,,
PRS1103Abdal,Abdāl,,,,,m,Harar,Islam,, āw ,,,,,
PRS1104AbdalAz,Abdäl Aziz Usman,,,,,m,,,, šayḫ ,,,,,
PRS1106AbdalRa,Abdäl Rähman Šarif,,,,,m,,,, pol. ,,,,,
PRS1107Abdala,ʿAbdäla,,,,,m,,,, dipl. ,,,,,
PRS1108Abdala,ʿAbdalʿalīm Idrīs,,,,,m,,,, qāḍī ,,,,,
PRS1109Abdalfa,ʿAbdalfattāḥ ʿAlīyān,,,,,m,,,, sch. ,,,,,
PRS1110Abdalga,ʿAbdalǧabbār b. ʿAbdarraḥmān,,,,,m,,,, gov. ,,,,,
PRS1111Abdalga,ʿAbdalǧawād,,,,,m,,,, kabīr ,,,,,
PRS1112Abdalha,ʿAbdalḥakīm,,,,,m,,,, walī ,,,,,
PRS1113Abdalha,ʿAbdalḥamīd II,,ʿAbd al-Ḥamīd ,Abdülhamid,,m,Ottoman,Islam,, sulṭ. ,,,,,
PRS1114Abdalha,ʿAbdalḥayy,,,,,m,,,, šayḫ ,,,,,
PRS1115Abdalka,ʿAbdalkāfī,,,,,m,,,, šayḫ ,,,,,
PRS1116Abdalka,ʿAbdalkarīm,,Abdäl Kerim,,,m,,,, archt. ,,,,,
PRS1117Abdalka,ʿAbdalkarīm ʿAbdarraḥīm,,,,,m,,,, nāʾib ,,,,,
PRS1118Abdalka,ʿAbdalkarīm b. Abī Bakr,,,,,m,,,, amīr ,,,,,
PRS1119Abdalka,ʿAbdalkarīm b. Muḥammad,,,,,m,,,, amīr ,,,,,
PRS1120Abdalka,ʿAbdalkarīm b. šayḫ Ṣiddīq b. šayḫ Ibrāhīm,,,,,m,,,, scribe,,,,,
PRS1121Abdalka,ʿAbdalkarīm Ḥāǧǧī Ibrāhīm,,Ǧarra Abbaa Gadaa,,,m,,,, mil. ,,,,,
PRS1122Abdalla,Abdälla,,,,,m,,,, näggadras ,,,,,
PRS1123Abdalla,ʿAbdallāh,,,,,m,,Islam,, gāša ,,,,,
PRS1124Abdalla,ʿAbdallāh,,,,,m,,Islam,, ḥaǧǧī, redanto ,,,,
