ESadmy002, Mälkǝʿa gubaʾe, Collection of Images
            ESamq002, Täʾamrä Maryam “Miracles of Mary”
            ESamq003, Mäṣḥafä gәbrä ḥǝmamat “Book of the Rite of the Holy Week”
            ESamq004, Mäṣḥafä gǝnzät “Book of the Funeral Ritual”
            ESamq005, Täʾamrä ʾIyäsus “Miracles of Jesus”
            ESamq006, Dǝggwa, Antiphonary / Ṣomä dǝggwa, Antiphonary for Lent
            ESamq007, Gädlä Qirqos “Vita of Cyricus” / Täʾamrä Qirqos “Miracles of Cyricus”
            ESamq008, Haymanotä ʾabäw “Faith of the Fathers” / Mäṣḥafä ṭomar “Book of the Letter (from Heaven)”
            ESamq009, Täʾamrä Maryam “Miracles of Mary” / Täʾamrä ʾIyäsus “Miracles of Jesus“ / Täʾamrä Qirqos “Miracles of Cyricus” / Täʾamrä Mikaʾel “Miracles of Michael” / Unidentified hymn / Täʾamrä Gäbrä Mänfäs Qǝddus “Miracles of Gäbrä Mänfäs Qǝddus”
            ESamq010, Mäṣḥafä qǝddase “Missal”
            ESamq011, Sǝnkǝssar “Synaxarion” (the second half of the year)
            ESamq012, Gädlä Qirqos “Vita of Cyricus” / Täʾamrä Qirqos “Miracles of Cyricus”
            ESamq013, Gädlä Täklä Haymanot “Vita of Täklä Haymanot” / Mäṣḥafä lǝdätu lä-ʾabunä Täklä Haymanot “Book of the Genealogy of ʾabunä Täklä Haymanot” / Täʾamrä Täklä Haymanot “Miracles of Täklä Haymanot”
            ESamq014, Täʾamrä Maryam “Miracles of Mary”
            ESamq015, Täʾamrä ʾIyäsus “Miracles of Jesus”
            ESamq016, Mäṣḥafä qǝddase “Missal”
            ESamq017, Mǝʿǝraf, The Common of the Office
            ESamq018, Gädlä Gäbrä Mänfäs Qǝddus “Vita of Gäbrä Mänfäs Qǝddus” / Täʾamrä Gäbrä Mänfäs Qǝddus “Miracles of Gäbrä Mänfäs Qǝddus” / Gädlä Zä-Mikaʾel ʾArägawi “Vita of Zä-Mikaʾel ʾArägawi” / Mälkǝʾa Zä-Mikaʾel ʾArägawi “Image of Zä-Mikaʾel ʾArägawi” / Gädlä Gäbrä Krǝstos “Vita of Gäbrä Krǝstos [St. Alexius]”
            ESamq019, Dǝrsanä Mikaʾel, Homiliary for the feasts of St. Michael
            ESamq020, Dǝrsan maḥyawi “The Life-Giving Homily”
            ESamq021, Dǝrsanä Mikaʾel, Homiliary for the feasts of St. Michael
            ESamq022, ʾArbaʿtu wängel “Four Gospels”
            ESamq023, Sǝnkǝssar “Synaxarion” (the first half of the year)
            ESams011, Mäṣḥafä ʾaslәṭi, Lectionary for the entire year
            ESap001, Mäṣḥafä qǝddase “Missal”
            ESap002, Dǝggwa, Antiphonary / Zǝmmare, Eucharistic hymns
            ESap003, ʾArbaʿtu wängel “Four Gospels”
            ESap004, Mäṣḥafä qǝddase "Missal"
            ESap005, Dǝrsanat, Homiliary
            ESap006, Dǝrsanä Mikaʾel, Homiliary for the feasts of St. Michael / ʾAmäḥaḍḍǝnäkkǝmu ʾagaʾǝztǝyä ʾab wä-wäld wä-mänfäs qǝddus … “I entrust myself to you my lords, the Father and the Son and the Holy Spirit …”
            ESap007, Gädlä Gäbrä Mänfäs Qǝddus “Vita of Gäbrä Mänfäs Qǝddus” / Täʾamrä Gäbrä Mänfäs Qǝddus “Miracles of Gäbrä Mänfäs Qǝddus”
            ESap008, Pauline Epistles
            ESap009, Mäṣḥafä gәbrä ḥǝmamat “Book of the Rite of the Holy Week”
            ESap010, Gädlä Gäbrä Mänfäs Qǝddus “Vita of Gäbrä Mänfäs Qǝddus” / Täʾamrä Gäbrä Mänfäs Qǝddus “Miracles of Gäbrä Mänfäs Qǝddus”
            ESap011, Dǝrsanä Mikaʾel, Homiliary for the feasts of St. Michael
            ESap012, Mäṣḥafä nәfq "Book of the Assistant Priest"
            ESap013, Liturgical miscellanea
            ESap014, Sǝnkǝssar “Synaxarion” (the first half of the year)
            ESap015, Sǝnkǝssar “Synaxarion” (the second half of the year)
            ESap016, Gädlä ḥawaryat, Apocryphal Acts of the Apostles / Täʾamrä Mikaʾel “Miracles of Michael” / Homily on St. Michael (story about St. Tälason)
            ESap017, Gädlä Kiros “Vita of Kiros”
            ESap018, Gädlä Kiros “Vita of Kiros”
            ESap019, Gädlä sämaʿtatä Ṗäraqliṭos “Vita of the Martyrs of Ṗäraqliṭos” / Täʾamrä sämaʿtatä Ṗäraqliṭos “Miracles of the Martyrs of Ṗäraqliṭos” / Mälkǝʾa sämaʿtatä Ṗäraqliṭos “Image of the Martyrs of Ṗäraqliṭos”
            ESap020, Dәrsanä sänbätä krǝstiyan “Homily on the Sabbath of Christians”
            ESap021, Mäṣḥafä krǝstǝnna “Book of the Christening” / Liturgical miscellanea
            ESap022, Gädlä sämaʿtatä Ṗäraqliṭos “Vita of the Martyrs of Ṗäraqliṭos” / Täʾamrä sämaʿtatä Ṗäraqliṭos “Miracles of the Martyrs of Ṗäraqliṭos”
            ESap023, Gädlä Gäbrä Mänfäs Qǝddus “Vita of Gäbrä Mänfäs Qǝddus” / Täʾamrä Gäbrä Mänfäs Qǝddus “Miracles of Gäbrä Mänfäs Qǝddus”
            ESap026, Mäṣḥafä gәṣṣawe, Lectionary for the first half of the year
            ESap028, Täʾamrä Maryam “Miracles of Mary” / Miracles of the Trinity, Archangel Michael, Jesus, Gäbrä Mänfäs Qǝddus
            ESap029, Täʾamrä Maryam “Miracles of Mary” / Täʾamrä Mikaʾel "Miracles of Michael"
            ESap030, Gädlä Täklä Haymanot “Vita of Täklä Haymanot” / Mäṣḥafä lǝdätu lä-ʾabunä Täklä Haymanot “Book of the Genealogy of ʾabunä Täklä Haymanot” / Mäṣḥafä fǝlsätu lä-ʾabunä Täklä Haymanot “Book of the Translation of ʾabunä Täklä Haymanot” / Täʾamrä Täklä Haymanot “Miracles of Täklä Haymanot”
            ESap032, Mäṣḥafä gǝnzät “Book of the Funeral Ritual”
            ESap034, Gädlä sämaʿtatä Ṗäraqliṭos “Vita of the Martyrs of Ṗäraqliṭos” / Täʾamrä sämaʿtatä Ṗäraqliṭos “Miracles of the Martyrs of Ṗäraqliṭos”
            ESap035, Täʾamrä Maryam “Miracles of Mary” / Homily by Cyril of Jerusalem on the Assumption of Mary / Homily by Cyriacus of Behnesa on the Assumption of Mary
            ESap037, Mäṣḥafä ʾaślәṭi, Lectionary for the entire year
            ESap038, Täʾamrä ʾIyäsus “Miracles of Jesus”
            ESap039, Mäṣḥafä ʾaślәṭi, Lectionary for the entire year
            ESap040, Mäṣḥafä ʾaślәṭi, Lectionary for the week / Barәkännä ʾәgziʾo… “Bless us, O Lord…”
            ESap044, Nägärä Maryam “The Story of Mary”
