signature, title, work, edition/literature, record
,,,literature,A. Dillmann “Über die apokryphen Märtyrergeschichten des Cyriacus mit Julitta und des Georgius” Sitzungsberichte der königlich preussischen Akademie der Wissenschaften zu Berlin. 28. April. Sitzung der philosophisch-historischen Classe Berlin 1887 339-356.
                    ,,,literature,BHO 193-195.
                    ,,,literature,BudSaint II 1130-1131.
                    ,,,literature,ColSyn IX 106-111.
                    ,,,literature,E. Sengal “Poemetto amarico in onore di San Quirico” Studi Etiopici raccolti da C. Conti Rossini Roma 1954 (= RSE 4 1944-1945 [1946]) 41-58.
                    ,,,literature,EAE IV “Qirqos”.
                    ,,,literature,G. Fiaccadori “Nuova iscrizione Greca da Aksum” Parola del Passato 62 2007 70-76.
                    ,,,literature,J. Habbi “Ciriaco (Quiryaqos) e Giulietta (Yolete)” in: EncSan 491.
                    ,,,literature,T. Orlandi “Cyriacus and Julitta Saints” in: CE III 671.
                    ,,,literature,BHG 111-112.
                    ,,II. Täʾamrä Qirqos “Miracles of Cyricus”,,
,,,edition,S. Grébaut “Un nouveau recueil des miracles de l`enfant Cyriaque” Aethiopica 3 1935 33-36 85-91.
                    ,,,edition,S. Grébaut “Les miracles du saint enfant Cyriaque” ROC 18 (1913) 419-423; 19 (1914) 93-97; 20 (1915-1917) 106-109 129-132; 21 (1918-1919) 409-411; 25 (1925-1926) 187-195.
                    AMM-002,Dawit “Psalter”,,,
            ,,Dawit “Psalter”,,
,,,edition,K. STOFFREGEN-PEDERSEN Traditional Biblical Exegesis of the Book of Psalms Wiesbaden 1995 (AeF 36).
                    ,,,edition,TÄSFA GÄBRÄ ŚǝLLASE zä-bǝḥerä Bulga Mäzmurä Dawit. Ṡälotatä näbiyat wä-mäḫalǝyä Sälomon wǝddase Maryam mǝslä anqäṣä bǝrhan… Addis Abäba 1991 (and other editions);
                    ,,,literature,B. TURAEV “Iz efiopskoj otrečonnoj literatury. I. Psalmy kak zagovory” (‘From the Ethiopian Apocryphal Literature. I. Psalms as Charmes’) Hristianskij vostok 6–1 1917 63–74.
                    ,,,literature,EAE IV “Psalter”;
                    ,,,literature,J.A.B. DORN De Psalterio Aethiopico commentario Lipsiae 1825;
                    ,,,literature,M. KNIBB Translating the Bible. The Ethiopic Version of the Old Testament Oxford 1999 (The Schweich Lectures of the British Academy 1995) 46–52;
                    ,,,literature,M. KNIBB “The Ethiopic Translation of the Psalms” in: A. Aemelaeus – U. Quast (eds.) Der Septuaginta-Psalter und seine Tochterübersetzungen. Symposium in Göttingen 1997 Göttingen 2000 107–22;
                    ,,,literature,R. SCHNEIDER “Les titres des Psaumes en Éthiopien” in: D. Cohen (ed.) Mélanges Marcel Cohen The Hague – Paris 1970 424-428;
                    ,,,literature,S. STRELCYN “Le psaume 151 dans la tradition éthiopienne” JSS 23 1978 316-329;
                    ,,,literature,M.S. DEVENS A Concordance to Psalms in the Ethiopic Version Wiesbaden 2001 (AeF 59);
                    ,,I) Mäzmurä Dawit “Psalms of David”,,
,,,edition,TÄSFA GÄBRÄ ŚǝLLASE zä-bǝḥerä Bulga Mäzmurä Dawit. Ṣälotatä näbiyat wä-mäḫalǝyä Sälomon wǝddase Maryam mǝslä anqäṣä bǝrhan… Addis Abäba 1991 (many different editions).
                    ,,,edition,K. STOFFREGEN-PEDERSEN Traditional Biblical Exegesis of the Book of Psalms Wiesbaden 1995 (AeF 36);
                    ,,,literature,J.A.B. DORN De Psalterio Aethiopico commentario Lipsiae 1825;
                    ,,,literature,M. KNIBB Translating the Bible. The Ethiopic Version of the Old Testament Oxford 1999 (The Schweich Lectures of the British Academy 1995) 46–52;
                    ,,,literature,M. KNIBB “The Ethiopic Translation of the Psalms” in: A. Aemelaeus – U. Quast (eds.) Der Septuaginta-Psalter und seine Tochterübersetzungen. Symposium in Göttingen 1997 Göttingen 2000 107–22;
                    ,,,literature,M.S. DEVENS A Concordance to Psalms in the Ethiopic Version Wiesbaden 2001 (AeF 59);
                    ,,,literature,S. STRELCYN “Le psaume 151 dans la tradition éthiopienne” JSS 23 1978 316-329.
                    ,,,literature,EAE IV “Psalter”;
                    ,,II) Mäḫalǝyä näbiyat “The Canticles of the Prophets”,,
,,,edition,TÄSFA GÄBRÄ ŚǝLLASE zä-bǝḥerä Bulga Mäzmurä Dawit. Ṣälotatä näbiyat wä-mäḫalǝyä Sälomon wǝddase Maryam mǝslä anqäṣä bǝrhan… Addis Abäba 1991 E.C.
                    ,,III) Mäḫalǝyä mäḫalǝy “The Song of Songs”,,
,,,edition,Edition and translation:
                    ,,,edition,H.C. GLEAVE The Ethiopic Version of the Song of Songs London 1951.
                    ,,,edition,TÄSFA GÄBRÄ ŚǝLLASE zä-bǝḥerä Bulga Mäzmurä Dawit. Ṡälotatä näbiyat wä-mäḫalǝyä Sälomon wǝddase Maryam mǝslä anqäṣä bǝrhan… Addis Abäba 1991 E.C.
                    ,,,edition,Edition:
                    ,,IV) Wǝddase Maryam “Praise of Mary”,,
,,,edition,BLedMH 279-296.
                    ,,,edition,Edition and translation:
                    ,,,edition,K. FRIES ወዳሴ፡ ማርያም. Weddâsê Mârjâm. Ein äthiopischer Lobgesang an Maria nach mehreren Handschriften Upsala 1892.
                    ,,,edition,Translation:
                    ,,,edition,TÄSFA GÄBRÄ ŚǝLLASE zä-bǝḥerä Bulga Mäzmurä Dawit. Ṡälotatä näbiyat wä-mäḫalǝyä Sälomon wǝddase Maryam mǝslä anqäṣä bǝrhan… Addis Abäba 1991 E.C.
                    ,,,edition,VelMe I 76-91; II 284-296.
                    ,,,edition,Edition:
                    ,,,literature,EAE IV “Wǝddase Maryam”;
                    ,,,literature,GrohHymn 9–18.
                    ,,,literature,S. EURINGER “Der mutmaßliche Verfasser der koptischen Theotokien und des äthiopischen Weddâsê Mârjâm” OrChr N.S. 1 1911 215-26;
                    ,,,literature,CerMaria 290–300;
                    QSM-015,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
QSM-013,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
QSM-010,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
QSM-022,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
MY-001,Gädlä ḥawaryat Apocryphal Acts of the Apostles,,,
            ,,I. Gädlä Ḥawaryat Apocryphal Acts of the Apostles,,
,,,edition,BConAp I-II.
                    ,,,literature,BauGaH.
                    ,,,literature,CANT s. index.
                    ,,,literature,F. Morard “Acts of the Apostles” in: CE I 58-61.
                    ,,,literature,I. Guidi “Gli Atti apocrifi degli Apostoli nei testi copti arabi ed etiopici” Giornale della società Asiatica Italiana 2 1888 1-66.
                    ,,,literature,ID. “I manoscritti etiopici di J.M. Wansleben nella Biblioteca Nazionale Centrale di Firenze” RSE 33 1989 [1991] 5-33.
                    ,,,literature,A. Bausi; “Ḥawaryat: Gädlä ḥawaryat” in: EAE II 1049-51.
                    SMM-007,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
UM-007,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
MR-019,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
MR-007,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
MR-034,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
MR-013,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
QSM-017,Täʾamrä Maryam “Miracles of Mary”,,,
            ,,,,
AMQ-001,ʾArbaʿtu wängel “Four Gospels”,,,
            ,,I. Introduction to the Gospels,,
,,,edition,M.G.WECHSLER Evangelium Iohannis Aethiopicum Lovanii 2005 (CSCO 617; SAe 109).
                    ,,,edition,R. ZUURMOND Novum Testamentum Aethiopice. III. The Gospel of Matthew Wiesbaden 2001 (AeF 55).
                    ,,,edition,R.COWLEY New Testament Introduction in the Andemta Commentary Tradition Ostkirchliche Studien 26 1977 145-92.
                    ,,,edition,S. GREBAUT Les dix canons d’Eusèbe et d’Ammonius ROC 18 1913 314-17.
                    ,,,edition,S. GREBAUT Notice sur Matthieu l’Évangeliste ROC 18 1913 312-14.
                    ,,,literature,BauEr I–III.
                    ,,,literature,D. NOSNITSIN “Historical Records from Ethiopia: A Trilingual Document from Asbi Däbrä Gännät Sellase Tegray” Studies of the Department of African Languages and Cultures 41 2007 17-47.
                    ,,,literature,EAE I Canon tables .
                    ,,,literature,EAE II Eusebios of Caesarea .
                    ,,,literature,EAE II Gospel illustration .
                    ,,,literature,EAE II Gospel(s) .
                    ,,,literature,EAE III Wängelä Wärq .
                    ,,,literature,PAWLOS SADWA “Un manoscritto etiopico degli Evangeli” RSE 11 1952 [1953] 9-28.
                    ,,,literature,R. ZUURMOND Novum Testamentum Aethiopice: the Synoptic Gospels Part I: General Introduction Part II: Edition of the Gospel of Mark Stuttgart 1989 (AeF 27) I 7-31 240-55.
                    ,,,literature,A. BAUSI Some short remarks on the Canon tables in Ethiopic manuscripts Studi Magrebini 26 (1998-2002 [2004]) 45-67.
                    ,,II. Gospel of Matthew,,
,,,edition,R. ZUURMOND Novum Testamentum Aethiopice. III. The Gospel of Matthew Wiesbaden 2001 (AeF 55).
                    ,,,literature,R. ZUURMOND Novum Testamentum Aethiopice: the Synoptic Gospels Part I: General Introduction Part II: Edition of the Gospel of Mark Stuttgart 1989 (AeF 27).
                    ,,III. Gospel of Mark,,
,,,edition,R. ZUURMOND Novum Testamentum Aethiopice: the Synoptic Gospels Part I: General Introduction Part II: Edition of the Gospel of Mark Stuttgart 1989 (AeF 27).
                    ,,,literature,R. ZUURMOND Novum Testamentum Aethiopice: the Synoptic Gospels Part I: General Introduction Part II: Edition of the Gospel of Mark Stuttgart 1989 (AeF 27).
                    ,,IV. Gospel of Luke,,
,,,literature,R. ZUURMOND Novum Testamentum Aethiopice: the Synoptic Gospels Part I: General Introduction Part II: Edition of the Gospel of Mark Stuttgart 1989 (AeF 27).
                    ,,V. Gospel of John,,
,,,edition,M.G.WECHSLER Evangelium Iohannis Aethiopicum Lovanii 2005 (CSCO 617; SAe 109).
                    ,,,literature,M.G.WECHSLER Evangelium Iohannis Aethiopicum Lovanii 2005 (CSCO 617; SAe 109).
                    ,,,literature,R. ZUURMOND Novum Testamentum Aethiopice: the Synoptic Gospels Part I: General Introduction Part II: Edition of the Gospel of Mark Stuttgart 1989 (AeF 27).
                    MY-007,Mäṣḥafä gǝnzät “Book of the Funeral Ritual”,,,
            ,,,,
UM-047,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
AM-004,Dǝrsanä Mikaʾel Homiliary for the feasts of St. Michael / Mälkǝʾa Mikaʾel “Image of Michael”,,,
            ,,I. Dǝrsanä Mikaʾel “Homiliary for the Monthly Feasts of St. Michael”,,
,,,edition,TÄSFA GÄBRÄ ŚǝLLASE zä-bǝḥerä Bulga Dǝrsanä Mikaʾel wä-dǝrsanä Rufaʾel mälkʾa Mikaʾel wä-Mälkʾa Rufaʾel dǝrsanä Gäbrǝʾel wä-mälkʾa Gäbrǝʾel Addis Abäba 1954 E.C.
                    ,,,literature,EAE II 139-40 “Dǝrsanä Mikaʾel”.
                    ,,II. Mälkǝʾa Mikaʾel “Image of Michael”,,
,,,edition,TÄSFA GÄBRÄ ŚǝLLASE zä-bǝḥerä Bulga Dǝrsanä Mikaʾel wä-dǝrsanä Rufaʾel mälkʾa Mikaʾel wä-mälkʾa Rufaʾel dǝrsanä Gäbrǝʾel wä-mälkʾa Gäbrǝʾel Addis Abäba 1954 E.C.
                    ,,,literature,EAE III 700-02 “Mälkǝʾ”.
                    MY-004,Gädlä ḥawaryat Apocryphal Acts of the Apostles,,,
            ,,I. Gädlä Ḥawaryat Apocryphal Acts of the Apostles,,
,,,edition,BConAp I-II.
                    ,,,literature,BauGaH.
                    ,,,literature,CANT s. Index.
                    ,,,literature,F. Morard “Acts of the Apostles” in: CE I 58-61.
                    ,,,literature,I. Guidi “Gli Atti apocrifi degli Apostoli nei testi copti arabi ed etiopici” Giornale della società Asiatica Italiana 2 1888 1-66.
                    ,,,literature,ID. “I manoscritti etiopici di J.M. Wansleben nella Biblioteca Nazionale Centrale di Firenze” RSE 33 1989 [1991] 5-33.
                    ,,,literature,A. Bausi; “Ḥawaryat: Gädlä ḥawaryat” in: EAE II 1049-51.
                    UM-023,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
AMQ-022,ʾArbaʿtu wängel “Four Gospels”,,,
            ,,,,
AMM-001,ʾArbaʿtu wängel “Four Gospels”,,,
            ,,,,
DZ-001,ʾArbaʿtu wängel “Four Gospels”,,,
            ,,I. Bǝsratä Luqas “Gospel of Luke”,,
,,II. Bǝsratä Yoḥannǝs “Gospel of John”,,
,,III. Bǝsratä Matewos Gospel of Matthew,,
,,IV. Bǝsratä Marqos Gospel of Marqos,,
DZ-004,Gädlä ḥawaryat Apocryphal Acts of the Apostles,,,
            ,,I. Gädlä Ḥawaryat Apocryphal Acts of the Apostles,,
,,,edition,BConAp I-II.
                    ,,,literature,BauGaH.
                    ,,,literature,CANT s. index.
                    ,,,literature,F. Morard “Acts of the Apostles” in: CE I 58-61.
                    ,,,literature,I. Guidi “Gli Atti apocrifi degli Apostoli nei testi copti arabi ed etiopici” Giornale della società Asiatica Italiana 2 1888 1-66.
                    ,,,literature,ID. “I manoscritti etiopici di J.M. Wansleben nella Biblioteca Nazionale Centrale di Firenze” RSE 33 1989 [1991] 5-33.
                    ,,,literature,A. Bausi; “Ḥawaryat: Gädlä ḥawaryat” in: EAE II 1049-51.
                    AMM-003,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
MY-013,Mäṣḥafä gǝnzät “Book of the Funeral Ritual”,,,
            ,,,,
DZ-024,ʾArbaʿtu wängel “Four Gospels”,,,
            ,,,,
MY-006,ʾArbaʿtu wängel “Four Gospels”,,,
            ,,,,
AP-003,ʾArbaʿtu wängel “Four Gospels”,,,
            ,,I. Introduction,,
,,,edition,R.COWLEY New Testament Introduction in the Andemta Commentary Tradition Ostkirchliche Studien 26 1977 145-92.
                    ,,,literature,BauEr I–III.
                    ,,,literature,D. NOSNITSIN “Historical Records from Ethiopia: A Trilingual Document from Asbi Däbrä Gännät Sellase Tegray” Studies of the Department of African Languages and Cultures 41 2007 17-47.
                    ,,,literature,EAE I Canon tables .
                    ,,,literature,EAE II Eusebios of Caesarea .
                    ,,,literature,EAE II Gospel illustration .
                    ,,,literature,EAE II Gospel(s) .
                    ,,,literature,EAE III Wängelä Wärq .
                    ,,,literature,PAWLOS SADWA “Un manoscritto etiopico degli Evangeli” RSE 11 1952 [1953] 9-28.
                    ,,,literature,R. ZUURMOND Novum Testamentum Aethiopice: the Synoptic Gospels Part I: General Introduction Part II: Edition of the Gospel of Mark Stuttgart 1989 (AeF 27) I 7-31 240-55.
                    ,,,literature,A. BAUSI Some short remarks on the Canon tables in Ethiopic manuscripts Studi Magrebini 26 (1998-2002 [2004]) 45-67.
                    ,,II. Gospel of Matthew,,
,,,edition,R. ZUURMOND Novum Testamentum Aethiopice. III. The Gospel of Matthew Wiesbaden 2001 (AeF 55).
                    ,,,literature,R. ZUURMOND Novum Testamentum Aethiopice: the Synoptic Gospels Part I: General Introduction Part II: Edition of the Gospel of Mark Stuttgart 1989 (AeF 27).
                    ,,III. Gospel of Mark,,
,,,edition,R. ZUURMOND Novum Testamentum Aethiopice: the Synoptic Gospels Part I: General Introduction Part II: Edition of the Gospel of Mark Stuttgart 1989 (AeF 27).
                    ,,,literature,R. ZUURMOND Novum Testamentum Aethiopice: the Synoptic Gospels Part I: General Introduction Part II: Edition of the Gospel of Mark Stuttgart 1989 (AeF 27).
                    ,,IV. Gospel of Luke,,
,,,literature,R. ZUURMOND Novum Testamentum Aethiopice: the Synoptic Gospels Part I: General Introduction Part II: Edition of the Gospel of Mark Stuttgart 1989 (AeF 27).
                    ,,V. Gospel of John,,
,,,edition,M.G.WECHSLER Evangelium Iohannis Aethiopicum Lovanii 2005 (CSCO 617; SAe 109).
                    ,,,literature,M.G.WECHSLER Evangelium Iohannis Aethiopicum Lovanii 2005 (CSCO 617; SAe 109).
                    ,,,literature,R. ZUURMOND Novum Testamentum Aethiopice: the Synoptic Gospels Part I: General Introduction Part II: Edition of the Gospel of Mark Stuttgart 1989 (AeF 27).
                    MR-023,Gädlä Qirqos “Vita of Cyricus”,,,
            ,,I. Gädlä Qirqos “Vita of Cyricus”,,
,,,literature,A. Dillmann “Über die apokryphen Märtyrergeschichten des Cyriacus mit Julitta und des Georgius” Sitzungsberichte der königlich preussischen Akademie der Wissenschaften zu Berlin. 28. April. Sitzung der philosophisch-historischen Classe Berlin 1887 339-56.
                    ,,,literature,BHO 193-95.
                    ,,,literature,BudSaint II 1130-31.
                    ,,,literature,ColSyn IX 106-11.
                    ,,,literature,E. Sengal “Poemetto amarico in onore di San Quirico” Studi Etiopici raccolti da C. Conti Rossini Roma 1954 (= RSE 4 1944-1945 [1946]) 41-58.
                    ,,,literature,EAE IV “Qirqos”.
                    ,,,literature,G. Fiaccadori “Nuova iscrizione Greca da Aksum” Parola del Passato 62 2007 70-76.
                    ,,,literature,J. Habbi “Ciriaco (Quiryaqos) e Giulietta (Yolete)” in: EncSan 491.
                    ,,,literature,T. Orlandi “Cyriacus and Julitta Saints” in: CE III 671.
                    ,,,literature,BHG 111-12.
                    UM-012,Mäṣḥafä gǝnzät “Book of the Funeral Ritual”,,,
            ,,,,
QSM-003,ʾArbaʿtu wängel “Four Gospels”,,,
            ,,,,
SM-015,ʾArbaʿtu wängel “Four Gospels”,,,
            ,,,,
MY-016,Dәrsanä sänbätä krǝstiyan “Homily on the Sabbath of Christians” / Mälkǝʾa sänbätä krǝstiyan “Image of the Sabbath of Christians”,,,
            ,,I. Dәrsanä sänbätä krǝstiyan “Homily on the Sabbath of Christians” (Homily on the observance of Sunday ascribed to Jaqob of Serug),,
,,,edition,M. WURMBRAND “Le ´Dersana Sanbat`. Une homélie éthiopienne attribuée a Jacques de Saroug” L´Orient syrien 8 1963 343-61.
                    ,,,edition,ድርሳነ፡ ሰንበት፡ (Dǝrsanä sänbät ‘Homily of the Sabbathʼ) ed. by ʾabba GÄBRÄ KIDAN BÄZZABBƎH – ʾaggafari GÄBRÄ IYÄSUS – MÄŠÄŠA GƎZZAW; Addis Abäba 1947 A.M. [1954/55 A.D.]; ibid. ed. by TÄSFA GÄBRÄ ŚƎLLASE Addis Abäba 1959 A.M. [1966/67 A.D.].
                    ,,,literature,EAE II “Dәrsanä sänbät”.
                    ,,II. Mälkǝʾa sänbätä krǝstiyan “Image of the Sabbath of Christians”,,
,,,literature,EAE II Dәrsanä sänbät .
                    UM-021,Mäṣḥafä gǝnzät “Book of the Funeral Ritual”,,,
            ,,,,
FBM-021,ʾArbaʿtu wängel “Four Gospels”,,,
            ,,,,
MY-008,ʾArbaʿtu wängel “Four Gospels”,,,
            ,,,,
SM-003,ʾArbaʿtu wängel “Four Gospels”,,,
            ,,,,
AP-020,Dәrsanä sänbätä krǝstiyan “Homily on the Sabbath of Christians”,,,
            ,,I. Dәrsanä sänbätä krǝstiyan “Homily on the Sabbath of Christians” (Homily on the observance of Sunday ascribed to Jaqob of Serug),,
,,,edition,M. WURMBRAND “Le ´Dersana Sanbat`. Une homélie éthiopienne attribuée a Jacques de Saroug” L´Orient syrien 8 1963 343-61.
                    ,,,edition,ድርሳነ፡ ሰንበት፡ (Dǝrsanä sänbät ‘Homily of the Sabbathʼ) ed. by ʾabba GÄBRÄ KIDAN BÄZZABBƎH – ʾaggafari GÄBRÄ IYÄSUS – MÄŠÄŠA GƎZZAW; Addis Abäba 1947 A.M. [1954/55 A.D.]; ibid. ed. by TÄSFA GÄBRÄ ŚƎLLASE Addis Abäba 1959 A.M. [1966/67 A.D.].
                    ,,,literature,EAE II Dәrsanä sänbät .
                    UM-027,ʾArbaʿtu wängel “Four Gospels”,,,
            ,,,,
MR-009,Dәrsanä sänbätä krǝstiyan “Homily on the Sabbath of Christians”,,,
            ,,Dәrsanä sänbätä krǝstiyan “Homily on the Sabbath of Christians” (Homily on the observance of Sunday ascribed to Jaqob of Serug),,
,,,edition,M. WURMBRAND “Le ´Dersana Sanbat`. Une homélie éthiopienne attribuée a Jacques de Saroug” L´Orient syrien 8 1963 343-61.
                    ,,,edition,ድርሳነ፡ ሰንበት፡ (Dǝrsanä sänbät ‘Homily of the Sabbathʼ) ed. by ʾabba GÄBRÄ KIDAN BÄZZABBƎH – ʾaggafari GÄBRÄ IYÄSUS – MÄŠÄŠA GƎZZAW; Addis Abäba 1947 A.M. [1954/55 A.D.]; ibid. ed. by TÄSFA GÄBRÄ ŚƎLLASE Addis Abäba 1959 A.M. [1966/67 A.D.].
                    ,,,literature,EAE II Dәrsanä sänbät .
                    FBM-020,Dәrsanä sänbätä krǝstiyan “Homily on the Sabbath of Christians”,,,
            ,,I. Dәrsanä sänbätä krǝstiyan “Homily on the Sabbath of Christians” (Homily on the observance of Sunday ascribed to Jaqob of Serug),,
,,,edition,M. WURMBRAND “Le ´Dersana Sanbat`. Une homélie éthiopienne attribuée a Jacques de Saroug” L´Orient syrien 8 1963 343-61.
                    ,,,edition,ድርሳነ፡ ሰንበት፡ (Dǝrsanä sänbät ‘Homily of the Sabbathʼ) ed. by ʾabba GÄBRÄ KIDAN BÄZZABBƎH – ʾaggafari GÄBRÄ IYÄSUS – MÄŠÄŠA GƎZZAW; Addis Abäba 1947 A.M. [1954/55 A.D.]; ibid. ed. by TÄSFA GÄBRÄ ŚƎLLASE Addis Abäba 1959 A.M. [1966/67 A.D.].
                    ,,,literature,EAE II Dәrsanä sänbät .
                    MY-014,Mäṣḥafä täklil “Book of the Marriage Ritual”,,,
            ,,Mäṣḥafä täklil “The Book of the Marriage Ritual”,,
,,,edition,PATRIARCHATE OF THE ETHIOPIAN ORTHODOX CHURCH (ed.) Mäṣḥafä krǝstǝnna Mäṣḥafä täklil Mäṣḥafä qedär Mäṣḥafä qändil; ‘Ritual of Baptism; Ritual of Crowning; Ritual of Penance; and Ritual of Unction’ Addis Abäba 1993 A.M. [2001 A.D.].
                    ,,,edition,PATRIARCHATE OF THE ETHIOPIAN ORTHODOX CHURCH (ed.) Mäṣḥafä täklil ‘The Book of Crowning’ Addis Abäba 1956 A.M. [1964 A.D.]; 21994 A.M. [2001/02 A.D.].
                    ,,,edition,M. CHAÎNE (ed.) “Le Rituel éthiopien – Rituel de la confirmation et du marriage” Besarione 29 1913 255-83.
                    ,,,literature,A. RAES Le marriage dans les Églises d’Orient Chevetogne 1958 23-45.
                    ,,,literature,Gh. VAN OVERSTRAETEN N.D.S. “Le rite de l’onction des époux dans la liturgie copte du marriage” Parole de l’Orient 5 1 1974 49-93.
                    ,,,literature,GuiSLett 75.
                    ,,,literature,O. RAINERI “Celebrazione del matrimonio nel rito etiopico” in: G. Farnedi (ed.) La Celebrazione cristiana del matrimonio: Simboli e testi. Atti del II Congresso Internazionale di Liturgia Roma 27-31 Magio 1985 Roma 1986 (Studia Anselmiana 93. Analecta liturgica 11) 307-41.
                    ,,,literature,P. TZADUA “Le diverse forme del matrimonio e il loro carattere dissolubile e indissolubile nella tradizione della chiesa d’Etiopia” QSE 6-7 1985-86 5-30.
                    ,,,literature,EAE IV 844-45.
                    QSM-035,Dәrsanä sänbätä krǝstiyan “Homily on the Sabbath of Christians” / Mälkǝʾa sänbätä krǝstiyan “Image of the Sabbath of Christians”,,,
            ,,I. Dәrsanä sänbätä krǝstiyan “Homily on the Sabbath of Christians” (Homily on the observance of Sunday ascribed to Jaqob of Serug),,
,,,edition,M. WURMBRAND “Le ´Dersana Sanbat`. Une homélie éthiopienne attribuée a Jacques de Saroug” L´Orient syrien 8 1963 343-61.
                    ,,,edition,ድርሳነ፡ ሰንበት፡ (Dǝrsanä sänbät ‘Homily of the Sabbathʼ) ed. by ʾabba GÄBRÄ KIDAN BÄZZABBƎH – ʾaggafari GÄBRÄ IYÄSUS – MÄŠÄŠA GƎZZAW; Addis Abäba 1947 A.M. [1954/55 A.D.]; ibid. ed. by TÄSFA GÄBRÄ ŚƎLLASE Addis Abäba 1959 A.M. [1966/67 A.D.].
                    ,,,literature,EAE II “Dәrsanä sänbät”.
                    ,,II. Mälkǝʾa sänbätä krǝstiyan “Image of the Sabbath of Christians,,
MY-010,Mäṣḥafä gǝnzät “Book of the Funeral Ritual”,,,
            ,,,,
MY-020,Mäṣḥafä gǝnzät “Book of the Funeral Ritual” / Mäṣḥafä krǝstǝnna “Book of the Christening”,,,
            ,,,,
MR-012,Dәrsanä sänbätä krǝstiyan “Homily on the Sabbath of Christians”,,,
            ,,I. Dәrsanä sänbätä krǝstiyan “Homily on the Sabbath of Christians” (Homily on the observance of Sunday ascribed to Jaqob of Serug),,
,,,edition,M. WURMBRAND “Le ´Dersana Sanbat`. Une homélie éthiopienne attribuée a Jacques de Saroug” L´Orient syrien 8 1963 343-61.
                    ,,,edition,ድርሳነ፡ ሰንበት፡ (Dǝrsanä sänbät ‘Homily of the Sabbathʼ) ed. by ʾabba GÄBRÄ KIDAN BÄZZABBƎH – ʾaggafari GÄBRÄ IYÄSUS – MÄŠÄŠA GƎZZAW; Addis Abäba 1947 A.M. [1954/55 A.D.]; ibid. ed. by TÄSFA GÄBRÄ ŚƎLLASE Addis Abäba 1959 A.M. [1966/67 A.D.].
                    ,,,literature,EAE II “Dәrsanä sänbät”.
                    DZ-002,Mäṣḥafä gǝnzät “Book of the Funeral Ritual”,,,
            ,,,,
DZ-013,Mäṣḥafä qǝddase “Missal”,,,
            ,,,,
MR-014,Nägär bäkämä konä ḥәywätu lä-qәddus Yoḥannәs Mäṭmәq wä-ʾәfo konä mәträtä rәʾәsu Discourse by John Chrysostom on the life and decollation of John the Baptist / Homily by John Chrysostom on the glory of John the Baptist / Täʾamrä Yoḥannǝs Mäṭmǝq “Miracles of John the Baptist” / Mälkәʾa Yoḥannәs Mäṭmәq “Image of John the Baptist”,,,
            ,,Discourse on the life and on the decollation of John the Baptist ascribed to John Chrysostom (Nägär bäkämä konä ḥәywätu lä-qәddusYoḥannәs Mäṭmәq ... ),,
,,,literature,EAE III “John the Baptist”
                    ,,Homily on the glory of John the Baptist ascribed to John Chrysostom (Dәrsan zä-däräsä Yoḥannәs ʿAfä Wärq … bäʾәntä kәbru lä-Yoḥannәs Mäṭmәq),,
,,,literature,EAE III “John the Baptist”
                    ,,Täʾamrä Yoḥannәs Mäṭmәq “Miracles of John the Baptist”,,
,,,literature,EAE III “John the Baptist”
                    ,,Mälkәʾa Yoḥannәs Mäṭmәq “Image of John the Baptist”,,
,,,literature,EAE III “John the Baptist”
                    MR-008,Mäṣḥafä qǝddase “Missal” / Gädlä Libanos “Vita of Libanos” / Täʾamrä Libanos “Miracles of Libanos” / Tarik zä-mänäkosat “History of the Monks”,,,
            ,,,,
DZ-011,Mäṣḥafä krǝstǝnna “Book of the Christening” / Mäṣḥafä ṭomar “Book of the Letter (from Heaven)” / Śǝrʿatä fäws mänfäsawi “Order of Spiritual Medicine” / Mäṣḥafä qedär “Book of the Jar”,,,
            ,,I. Mäṣḥafä krǝstǝnna “Book of the Christening”,,
,,,edition,Editions and translations:
                    ,,,edition,M. CHAÎNE (ed. tr.) “Le rituel éthiopien – Rituel du baptême“ Bessarione 17 [29] 123 1913 38-71;
                    ,,,edition,S. GRÉBAUT “Ordre du baptême et de la confirmation dans l’Église éthiopienne“ ROC 3e ser. 6 26 1-2 1927-28 105-89.
                    ,,,edition,THE PATRIARCHATE OF THE ETHIOPIAN ORTHODOX TÄWAḥƎDO CHURCH (ed.) Mäṣḥafä krǝstǝnna ‘Book of Christening’ Addis Abäba 1973 E.C. [1981 A.D.]; 21988 E.C. [1996 A.D.]; with tr. by MIKRE-SELLASSIE GABRA AMMANUEL – GETACHEW GUDIE Addis Abäba 1994 E.C. [2002 A.D.].
