signature, title, work, edition/literature, record
                    ,,,edition,TÄSFA GÄBRÄ ŚǝLLASE zä-bǝḥerä Bulga Mäzmurä Dawit. Ṡälotatä näbiyat wä- mäḫalǝyä Sälomon wǝddase Maryam mǝslä anqäṣä bǝrhan… Addis Abäba 1991 (and other editions).
                    ,,,edition,Editions:
                    ,,,literature,B. TURAEV “Iz efiopskoj otrečonnoj literatury. I. Psalmy kak zagovory” (‘From the Ethiopian Apocryphal Literature. I. Psalms as Charmes’) Hristianskij vostok 6–1 1917 63–74.
                    ,,,literature,EAE IV “Psalter”;
                    ,,,literature,J.A.B. DORN De Psalterio Aethiopico commentario Lipsiae 1825;
                    ,,,literature,M. KNIBB Translating the Bible. The Ethiopic Version of the Old Testament Oxford 1999 (The Schweich Lectures of the British Academy 1995) 46–52;
                    ,,,literature,M. KNIBB “The Ethiopic Translation of the Psalms” in: A. Aemelaeus – U. Quast (eds.) Der Septuaginta-Psalter und seine Tochterübersetzungen. Symposium in Göttingen 1997 Göttingen 2000 107–22;
                    ,,,literature,R. SCHNEIDER “Les titres des Psaumes en Éthiopien” in: D. Cohen (ed.) Mélanges Marcel Cohen The Hague – Paris 1970 424-428;
                    ,,,literature,S. STRELCYN “Le psaume 151 dans la tradition éthiopienne” JSS 23 1978 316-329;
                    ,,,literature,M.S. DEVENS A Concordance to Psalms in the Ethiopic Version Wiesbaden 2001 (AeF 59);
                    ,,I) α Mäzmurä Dawit Psalms of David,,
,,,edition,K. STOFFREGEN-PEDERSEN Traditional Biblical Exegesis of the Book of Psalms Wiesbaden 1995 (AeF 36);
                    ,,,edition,TÄSFA GÄBRÄ ŚǝLLASE zä-bǝḥerä Bulga Mäzmurä Dawit. Ṡälotatä näbiyat wä- mäḫalǝyä Sälomon wǝddase Maryam mǝslä anqäṣä bǝrhan… Addis Abäba 1991 (and other editions).
                    ,,,edition,Editions:
                    ,,,literature,B. TURAEV “Iz efiopskoj otrečonnoj literatury. I. Psalmy kak zagovory” (‘From the Ethiopian Apocryphal Literature. I. Psalms as Charmes’) Hristianskij vostok 6–1 1917 63–74.
                    ,,,literature,EAE IV “Psalter”;
                    ,,,literature,J.A.B. DORN De Psalterio Aethiopico commentario Lipsiae 1825;
                    ,,,literature,M. KNIBB Translating the Bible. The Ethiopic Version of the Old Testament Oxford 1999 (The Schweich Lectures of the British Academy 1995) 46–52;
                    ,,,literature,M. KNIBB “The Ethiopic Translation of the Psalms” in: A. Aemelaeus – U. Quast (eds.) Der Septuaginta-Psalter und seine Tochterübersetzungen. Symposium in Göttingen 1997 Göttingen 2000 107–22;
                    ,,,literature,R. SCHNEIDER “Les titres des Psaumes en Éthiopien” in: D. Cohen (ed.) Mélanges Marcel Cohen The Hague – Paris 1970 424-428;
                    ,,,literature,S. STRELCYN “Le psaume 151 dans la tradition éthiopienne” JSS 23 1978 316-329;
                    ,,,literature,M.S. DEVENS A Concordance to Psalms in the Ethiopic Version Wiesbaden 2001 (AeF 59);
                    ,,I) β Mäzmurä Dawit “Psalms of David”,,
,,,edition,K. STOFFREGEN-PEDERSEN Traditional Biblical Exegesis of the Book of Psalms Wiesbaden 1995 (AeF 36);
                    ,,,edition,TÄSFA GÄBRÄ ŚǝLLASE zä-bǝḥerä Bulga Mäzmurä Dawit. Ṡälotatä näbiyat wä- mäḫalǝyä Sälomon wǝddase Maryam mǝslä anqäṣä bǝrhan… Addis Abäba 1991 (and other editions).
                    ,,,edition,Editions:
                    ,,,literature,B. TURAEV “Iz efiopskoj otrečonnoj literatury. I. Psalmy kak zagovory” (‘From the Ethiopian Apocryphal Literature. I. Psalms as Charmes’) Hristianskij vostok 6–1 1917 63–74.
                    ,,,literature,EAE IV “Psalter”;
                    ,,,literature,J.A.B. DORN De Psalterio Aethiopico commentario Lipsiae 1825;
                    ,,,literature,M. KNIBB Translating the Bible. The Ethiopic Version of the Old Testament Oxford 1999 (The Schweich Lectures of the British Academy 1995) 46–52;
                    ,,,literature,M. KNIBB “The Ethiopic Translation of the Psalms” in: A. Aemelaeus – U. Quast (eds.) Der Septuaginta-Psalter und seine Tochterübersetzungen. Symposium in Göttingen 1997 Göttingen 2000 107–22;
                    ,,,literature,R. SCHNEIDER “Les titres des Psaumes en Éthiopien” in: D. Cohen (ed.) Mélanges Marcel Cohen The Hague – Paris 1970 424-428;
                    ,,,literature,S. STRELCYN “Le psaume 151 dans la tradition éthiopienne” JSS 23 1978 316-329;
                    ,,,literature,M.S. DEVENS A Concordance to Psalms in the Ethiopic Version Wiesbaden 2001 (AeF 59);
                    ,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
AM-012,Śǝrʿatä mǝnkwǝsǝnna “The Order of the Monastic Profession”,,,
            ,,I. Śǝrʿatä mǝnkwǝsǝnna “The Order of the Monastic Profession”,,
,,,edition,S. GRÉBAUT Rituel éthiopien de prise d´habit Paris 1940(different version of the monastic ritual)
                    ,,,literature,D. NOSNITSIN “Wäwähabo qob‘a wä’askema. Reflections on an Episode from the History of the Ethiopian Monastic Movement” in: ID. et al. (eds.) Aethiopica. In Memory of Sevir B. Chernetsov (1943–2005) St. Petersburg 2005 (= Scrinium 1) here 204-10;
                    ,,,literature,R.ZUURMOND Novum Testamentum Aethiopice: the Synoptic Gospels Part I: General Introduction Part II: Edition of the Gospel of Mark Stuttgart 1989 (AeF 27) I 149.
                    ,,,literature,EAE III 996b-997b; EAE IV “Śǝrʿatä mǝnkwǝsǝnna“;
                    AM-007,Mäṣḥafä qǝddase Missal,,,
            ,,I. Daily Office Prayers,,
,,,edition,MSKLiton.
                    ,,,literature,EAE IV Qǝddase .
                    ,,II. Śәrʿatä qәddase Ordinary of the Mass,,
,,,edition,A.B. MERCER The Ethiopian Liturgy London 1915;
                    ,,,edition,DMEthLit;
                    ,,,edition,DMEthLitC;
                    ,,,edition,MQ;
                    ,,,edition,MSKLiton.
                    ,,,edition,F.E. BRIGHTMAN (tr.) Liturgies Eastern and Western I: Eastern Liturgies Oxford 1896 189-244;
                    ,,,literature,E. FRITSCH The Liturgical Year of the Ethiopian Church Addis Ababa 2001 (Ethiopian Review of Cultures Special Issue IX–X);
                    ,,,literature,HABTEMICHAE-KIDANE L’ufficio divino della chiesa etiopica. Studio storico-critico con particolare riferimento alle ore cattedrali Roma 1998 (OrChrA 257);
                    ,,,literature,HABTEMICHAEL KIDANE Bibliografia della liturgia etiopica Rome 2008 (OrChrA 280);
                    ,,,literature,PAULOS TZADUA “The Divine Liturgy According to the Rite of the Ethiopian Church” in: J. Madey (ed.) The Eucharistic Liturgy of the Christian East Kottayam - Paderborn 1982 37-68.
                    ,,,literature,EAE IV Qǝddase ;
                    ,,III. ʾAkkwätetä qwǝrban Anaphoras,,
,,,edition,A.B.MERCER The Ethiopian Liturgy London 1915;
                    ,,,edition,DMEthLit;
                    ,,,edition,DMEthLitC;
                    ,,,edition,M.PRIESS Die äthiopische Chrysostom-Anaphora Wiesbaden 2006 (AeF 68).
                    ,,,edition,MQ;
                    ,,,edition,V. BÖLL (ed. tr.) 'Unsere Herrin Maria'. Die traditionelle äthiopische Exegese der Marienanaphora des Cyriacus von Behnesa Wiesbaden 1998 (AeF 48);
                    ,,,edition,S. EAE I Anaphoras ;
                    ,,,literature,HamStAn.
                    ,,,literature,EAE I Anaphoras ;
                    UM-014,Täʾamrä Maryam “Miracles of Mary” / Täʾamrä Libanos “Miracles of Libanos”,,,
            ,,I-1) Mäṣḥafä śǝrʿat – Introductory rite of al-Muʿallaqah,,
,,,edition,BHMirM xlvi-liv.
                    ,,,edition,TÄSFA GÄBRÄ ŚǝLLASE (ed.) Täʾamrä Maryam Addis Abäba 1961 E.C. 9-10 11-20;
                    ,,,edition,BMirMA 2-4;
                    ,,,literature,CerMaria 17-22.
                    ,,,literature,EAE IV “Täʾammǝrä Maryam”;
                    ,,I-2) Introductory exhortation,,
,,,edition,BHMirM xliii-xlv.
                    ,,,edition,TÄSFA GÄBRÄ ŚǝLLASE (ed.) Täʾamrä Maryam Addis Abäba 1961 E.C. 3-7;
                    ,,,edition,BMirMA1-2 5-6;
                    ,,I-3) ʾƎsäggǝd läki wä-ʾǝweddǝsäki “I Worship Thee...”,,
,,,edition,BHMirMlvi-lvii.
                    ,,,edition,TÄSFA GÄBRÄ ŚǝLLASE (ed.) Täʾamrä Maryam Addis Abäba 1961 E.C. 7-9;
                    ,,,edition,BMirMA 6-7;
                    ,,I-4) Täʾamrä Maryam “Miracles of Mary”,,
,,I. Täʾamrä Maryam “Miracles of Mary”,,
,,,edition,BMirMA;
                    ,,,edition,CerMaria.
                    ,,,edition,ColMirM;
                    ,,,edition,BHMirM;
                    ,,,literature,CerCodBerl;
                    ,,,literature,CerCodUp.
                    ,,,literature,CerMaria;
                    ,,,literature,EAE IV “Täʾammǝrä Maryam”;
                    ,,II. Sälam läki ḫoḫǝtä mǝśraq I greet you the Threshold of the East…,,
,,,edition,BHMirM liv.
                    ,,,edition,BMirMA 5;
                    ,,III. Täʾamrä Libanos “Miracles of Libanos”,,
UM-016,Täʾamrä Maryam “Miracles of Mary”,,,
            ,,,,
UM-029,Täʾamrä Maryam “Miracles of Mary”,,,
            ,,,,
UM-042,Täʾamrä Maryam “Miracles of Mary” / Täʾamrä Iyäsus “Miracles of Jesus” / Täʾamrä Qirqos “Miracles of Cyricus” / Sälam läki ḫoḫǝtä mǝśraq... “Salutation to you Threshold of the East…” / Täʾamrä Libanos “Miracles of Libanos”,,,
            ,,I-1) Mäṣḥafä śǝrʿat – Introductory rite of al-Muʿallaqah,,
,,,edition,BHMirM xlvi-liv.
                    ,,,edition,TÄSFA GÄBRÄ ŚǝLLASE (ed.) Täʾamrä Maryam Addis Abäba 1961 E.C. 9-10 11-20.
                    ,,,edition,BMirMA 2-4.
                    ,,,literature,CerMaria 17-22.
                    ,,,literature,EAE IV “Täʾammǝrä Maryam”.
                    ,,I-2) Introductory exhortation,,
,,,edition,BHMirM xliii-xlv.
                    ,,,edition,TÄSFA GÄBRÄ ŚǝLLASE (ed.) Täʾamrä Maryam Addis Abäba 1961 E.C. 3-7.
                    ,,,edition,BMirMA 1-2 5-6.
                    ,,I-3) ʾƎsäggǝd läki wä-ʾǝweddǝsäki “I worship Thee…”,,
,,,edition,BHMirM lvi-lvii.
                    ,,,edition,TÄSFA GÄBRÄ ŚǝLLASE (ed.) Täʾamrä Maryam Addis Abäba 1961 E.C. 7-9.
                    ,,,edition,BMirMA 6-7.
                    ,,I-4) Miracles of Mary,,
,,,edition,BHMirM;
                    ,,,edition,CerMaria;
                    ,,,edition,ColMirM;
                    ,,,edition,E. CERULLI “Two Ethiopian Tales on the Christian of Cyprus” JES 5-1: 1-4;
                    ,,,edition,EAE II “Däbrä Ṣǝyon”;
                    ,,,edition,GuiSyn I;
                    ,,,edition,Gǝbrä Ḥǝmamat Addis Abäba 1942 EC.;
                    ,,,edition,TÄSFA GÄBRÄ ŚǝLLASE (ed.) Täʾamrä Maryam Addis Abäba 1956 EC.
                    ,,,edition,BMirMA;
                    ,,,literature,CerCodBerl;
                    ,,,literature,CerCodUp;
                    ,,,literature,CerCorLen;
                    ,,,literature,CerMaria;
                    ,,,literature,EAE IV “Täʾammǝrä Maryam”.
                    ,,I. Täʾamrä Maryam “Miracles of Mary”,,
,,,edition,BHMirM;
                    ,,,edition,CerMaria;
                    ,,,edition,ColMirM;
                    ,,,edition,E. CERULLI “Two Ethiopian Tales on the Christian of Cyprus” JES 5-1: 1-4;
                    ,,,edition,EAE II “Däbrä Ṣǝyon”;
                    ,,,edition,GuiSyn I;
                    ,,,edition,Gǝbrä Ḥǝmamat Addis Abäba 1942 EC.;
                    ,,,edition,TÄSFA GÄBRÄ ŚǝLLASE (ed.) Täʾamrä Maryam Addis Abäba 1956 EC.
                    ,,,edition,BMirMA;
                    ,,,literature,CerCodBerl;
                    ,,,literature,CerCodUp;
                    ,,,literature,CerCorLen;
                    ,,,literature,CerMaria;
                    ,,,literature,EAE IV “Täʾammǝrä Maryam”.
                    ,,II. Täʾamrä Iyäsus “Miracles of Jesus”,,
,,,edition,GrébMJ I
                    ,,,literature,W. WITAKOWSKI “The Miracles of Jesus: An Ethiopian Apocryphal Gospel” Apocrypha 6 1995 279-298.
                    ,,,literature,EAE IV “Täʾammǝrä Iyasus”;
                    ,,III. Täʾamrä Qirqos “Miracles of Qirqos”,,
,,IV. End of an unidentified text,,
,,V. Sälam läki ḫoḫǝtä mǝśraq “Salutation to you Threshold of the East…”,,
,,VI. Täʾamrä Libanos “Miracles of Libanos”,,
,,,edition,A. BAUSI La vita e i miracoli di Libanos Lovanii 2003 (CSCO 595-596 [SAe 105-106]): 86-87 (text) 53-54 (trans.).
                    ,,,literature,EAE III “Libanos”.
                    UM-008,Gädlä Qirqos “Vita of Cyricus” / Täʾamrä Qirqos “Miracles of Cyricus” / Mälkәʾa Qirqos “Image of Cyricus” / Sälam-hymn for Cyricus,,,
            ,,I. Gädlä Qirqos Vita of Cyricus,,
,,,literature,A. DILLMANN “Über die apokryphen Märtyrergeschichten des Cyriacus mit Julitta und des Georgius” Sitzungsberichte der königlich preussischen Akademie der Wissenschaften zu Berlin. 28. April. Sitzung der philosophisch-historischen Classe Berlin 1887 339-356.
                    ,,,literature,BHO 193-195.
                    ,,,literature,BudSaint II 1130-1131.
                    ,,,literature,ColSyn IX 106-111.
                    ,,,literature,E. SENGAL “Poemetto amarico in onore di San Quirico” Studi Etiopici raccolti da C. Conti Rossini Roma 1954 (= RSE 4 1944-1945 [1946]) 41-58.
                    ,,,literature,EAE IV “Qirqos”.
                    ,,,literature,G. FIACCADORI “Nuova iscrizione Greca da Aksum” Parola del Passato Rivista di Studi Antichi (Fascicolo CCCLII [Estratto]) 62 Napoli 2007 70-76.
                    ,,,literature,J. HABBI “Ciriaco (Quiryaqos) e Giulietta (Yolete)” EncSan 491.
                    ,,,literature,T. ORLANDI “Cyriacus and Julitta Saints” in: CE III 671.
                    ,,,literature,BHG 111-112.
                    ,,II. Täʾamrä Qirqos “Miracles of Cyricus” (16 Miracles),,
,,,edition,S. GRÉBAUT “Un nouveau recueil des miracles de l`enfant Cyriaque” Aethiopica 3 1935 33-36 85-91.
                    ,,,edition,S. GRÉBAUT “Les miracles du saint enfant Cyriaque” ROC 18 (1913) 419-423; 19 (1914) 93-97; 20 (1915-1917) 106-109 129-132; 21 (1918-1919) 409-411; 25 (1925-1926) 187-195.
                    ,,III. Mälkәʾa Qirqos “Images of Cyricus” (42 strophes),,
,,IV. Sälam-hymn for Cyricus,,
UM-024,Dawit “Psalter”,,,
            ,,I) Mäzmurä Dawit Psalms of David,,
,,,edition,TÄSFA GÄBRÄ ŚǝLLASE zä-bǝḥerä Bulga Mäzmurä Dawit. Ṡälotatä näbiyat wä- mäḫalǝyä Sälomon wǝddase Maryam mǝslä anqäṣä bǝrhan… Addis Abäba 1991 (many different editions).
                    ,,,edition,K. STOFFREGEN-PEDERSEN Traditional Biblical Exegesis of the Book of Psalms Wiesbaden 1995 (AeF 36);
                    ,,,literature,J.A.B. DORN De Psalterio Aethiopico commentario Lipsiae 1825;
                    ,,,literature,M. KNIBB Translating the Bible. The Ethiopic Version of the Old Testament Oxford 1999 (The Schweich Lectures of the British Academy 1995) 46–52;
                    ,,,literature,M. KNIBB “The Ethiopic Translation of the Psalms” in: A. Aemelaeus – U. Quast (eds.) Der Septuaginta-Psalter und seine Tochterübersetzungen. Symposium in Göttingen 1997 Göttingen 2000 107–22;
                    ,,,literature,M.S. DEVENS A Concordance to Psalms in the Ethiopic Version Wiesbaden 2001 (AeF 59);
                    ,,,literature,S. STRELCYN “Le psaume 151 dans la tradition éthiopienne” JSS 23 1978 316-329.
                    ,,,literature,EAE IV “Psalter”;
                    ,,Dawit Psalter,,
,,,edition,K. STOFFREGEN-PEDERSEN Traditional Biblical Exegesis of the Book of Psalms Wiesbaden 1995 (AeF 36).
                    ,,,edition,TÄSFA GÄBRÄ ŚǝLLASE zä-bǝḥerä Bulga Mäzmurä Dawit. Ṡälotatä näbiyat wä-mäḫalǝyä Sälomon wǝddase Maryam mǝslä anqäṣä bǝrhan… Addis Abäba 1991 (and other editions);
                    ,,,edition,Editions:
